provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Nusa Tenggara Timur,Kab. Sumba Barat Daya,Kec. Wewewa Utara,SD INPRES GOLLU MAREDA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7CD0A8AB53DB3CAAAEFF
Prov. Nusa Tenggara Timur,Kab. Sumba Barat Daya,Kec. Wewewa Utara,SD NEGERI KALEMBU MALITI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6F82E98E787B3070C986
Prov. Nusa Tenggara Timur,Kab. Sumba Barat Daya,Kec. Wewewa Utara,SD NEGERI PAKAMANDARA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FB81DA9FF43822F949AE
Prov. Nusa Tenggara Timur,Kab. Sumba Barat Daya,Kec. Wewewa Utara,SD NEGERI RAWE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7C118B4D33A73A6A36EF
Prov. Nusa Tenggara Timur,Kab. Sumba Barat Daya,Kec. Wewewa Utara,SD KATOLIK PALLA II,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/64B7B1DDFFEAEC419052
Prov. Nusa Tenggara Timur,Kab. Sumba Barat Daya,Kec. Wewewa Utara,SD KATOLIK WEE RABUKA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D60EFFF7BB625B4D96FE
Prov. Nusa Tenggara Timur,Kab. Sumba Barat Daya,Kec. Wewewa Utara,SD LAIKARAGA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E815FE4D8F18D5EE750B
Prov. Nusa Tenggara Timur,Kab. Sumba Barat Daya,Kec. Wewewa Utara,SD MASEHI GOLLU WATU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E5116BD550E34A363B4D
Prov. Nusa Tenggara Timur,Kab. Sumba Barat Daya,Kec. Wewewa Utara,SD MASEHI PALLA I,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C8011C30D2743FF98A3A
Prov. Nusa Tenggara Timur,Kab. Sumba Barat Daya,Kec. Wewewa Utara,SD MASEHI WANNO LOURA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FB141E2DD9DD2C223150
Prov. Nusa Tenggara Timur,Kab. Sumba Barat Daya,Kec. Wewewa Utara,SD MASEHI WEE PABOBA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E80C48196DE535DB5CF4
Prov. Nusa Tenggara Timur,Kab. Sumba Barat Daya,Kec. Wewewa Utara,SD MASEHI WEE PEWA 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6E9F8161E803C30995F0
Prov. Nusa Tenggara Timur,Kab. Sumba Barat Daya,Kec. Wewewa Utara,SD PUU KAZA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9F8583E378A8E8C36019
Prov. Nusa Tenggara Timur,Kab. Sumba Barat Daya,Kec. Wewewa Utara,SDK MUTU RATA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3828C08CDE4FE75D0805
Prov. Nusa Tenggara Timur,Kab. Sumba Barat Daya,Kec. Wewewa Utara,SDK WEEPEWA II,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F6E1DD7B49A3D34D7FA8
