provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Jawa Timur,Kab. Sumenep,Kec. Giligenteng,SD N AENGANYAR I,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D8C78A3DC0E81D59CCF9
Prov. Jawa Timur,Kab. Sumenep,Kec. Giligenteng,SD N BANBARU II,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6DFFD58446CB77C1A799
Prov. Jawa Timur,Kab. Sumenep,Kec. Giligenteng,SD N BRINGSANG I,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DA6B3B90C6A635E2A190
Prov. Jawa Timur,Kab. Sumenep,Kec. Giligenteng,SD N GALIS,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5F7E94033D4A62F52D33
Prov. Jawa Timur,Kab. Sumenep,Kec. Giligenteng,SD N LOMBANG I,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/53863FD11CADFFC4C9E6
Prov. Jawa Timur,Kab. Sumenep,Kec. Giligenteng,SD N LOMBANG II,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/321662AADD83E55389F2
Prov. Jawa Timur,Kab. Sumenep,Kec. Giligenteng,SD N LOMBANG III,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D307BD69B966BA7B6CED
Prov. Jawa Timur,Kab. Sumenep,Kec. Giligenteng,SD NEGERI BANBARU I,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8C169974599F8FC82233
Prov. Jawa Timur,Kab. Sumenep,Kec. Giligenteng,SD NEGERI GEDUGAN I,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C0E2279636771857E9BA
Prov. Jawa Timur,Kab. Sumenep,Kec. Giligenteng,SD NEGERI JATE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DE791EB905E7334C67B6
Prov. Jawa Timur,Kab. Sumenep,Kec. Giligenteng,SDN BANMALENG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/10382ABE3436E0EBBEBA
Prov. Jawa Timur,Kab. Sumenep,Kec. Giligenteng,SDN BRINGSANG II,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/81074B1AF6BFF04A4F69
Prov. Jawa Timur,Kab. Sumenep,Kec. Giligenteng,SDN GEDUGAN II,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9A24376CFD2608B09DC4
