provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Jawa Timur,Kab. Sumenep,Kec. Pasongsongan,SD N LEBENG BARAT II,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3FF1AA9DEA65AA3B6B07
Prov. Jawa Timur,Kab. Sumenep,Kec. Pasongsongan,SD N PANAONGAN 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5858B17ACC6D05022F80
Prov. Jawa Timur,Kab. Sumenep,Kec. Pasongsongan,SD N PANAONGAN III,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B1CEC63D133A72A8E01A
Prov. Jawa Timur,Kab. Sumenep,Kec. Pasongsongan,SD N Pasongsongan II,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7E8D528C72061B2B5417
Prov. Jawa Timur,Kab. Sumenep,Kec. Pasongsongan,SD N PASONGSONGAN IV,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C9D6975E53FF5C073ACD
Prov. Jawa Timur,Kab. Sumenep,Kec. Pasongsongan,SD N PRANCAK II,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D80BFEEBA8617E7C0298
Prov. Jawa Timur,Kab. Sumenep,Kec. Pasongsongan,SD NEGERI CAMPAKA III,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B25B0DDA7AC1E31ABA4D
Prov. Jawa Timur,Kab. Sumenep,Kec. Pasongsongan,SD NEGERI LEBENG BARAT I,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A8B037C7C7EC0766B54A
Prov. Jawa Timur,Kab. Sumenep,Kec. Pasongsongan,SD NEGERI LEBENG BARAT III,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EB6DC26258211D365BB1
Prov. Jawa Timur,Kab. Sumenep,Kec. Pasongsongan,SD NEGERI PADANGDANGAN II,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/124383F0AFB133DAB4D2
Prov. Jawa Timur,Kab. Sumenep,Kec. Pasongsongan,SD NEGERI PANAONGAN II,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/239ADCB0143641301994
Prov. Jawa Timur,Kab. Sumenep,Kec. Pasongsongan,SD NEGERI PANAONGAN IV,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B67173413A85624F0DEA
Prov. Jawa Timur,Kab. Sumenep,Kec. Pasongsongan,SD NEGERI PASONGSONGAN I,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DD5429E1911A13B8FA13
Prov. Jawa Timur,Kab. Sumenep,Kec. Pasongsongan,SD NEGERI PASONGSONGAN V,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/28FD95542DE6163F2D3C
Prov. Jawa Timur,Kab. Sumenep,Kec. Pasongsongan,SD NEGERI PRANCAK III,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FB4D4FBCC16528DBDDBD
Prov. Jawa Timur,Kab. Sumenep,Kec. Pasongsongan,SD NEGERI SODDARA I,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D666F239D131DDE773B7
Prov. Jawa Timur,Kab. Sumenep,Kec. Pasongsongan,SD NEGERI SODDARA II,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/07C69F407CD76A364B82
Prov. Jawa Timur,Kab. Sumenep,Kec. Pasongsongan,SDN PADANGDANGAN I,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9D7B9B509D645B419CBC
Prov. Jawa Timur,Kab. Sumenep,Kec. Pasongsongan,SD ISLAM MAMBAUL ULUM,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EB18E0D2D0E7E9C760B9
Prov. Jawa Timur,Kab. Sumenep,Kec. Pasongsongan,SD ISLAM MIFTAHUL ULUM,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/70B4EB4AFB31CAF14971
Prov. Jawa Timur,Kab. Sumenep,Kec. Pasongsongan,SD ISLAM NURUL HUDA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8DA9A85321F99417524A
Prov. Jawa Timur,Kab. Sumenep,Kec. Pasongsongan,SDI AL WILDAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9D800A326D2416C08104
Prov. Jawa Timur,Kab. Sumenep,Kec. Pasongsongan,SDI NURUL JAMAL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FAF97FA1A9D94A3C91EC
