provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Kalimantan Selatan,Kab. Tabalong,Kec. Haruai,SD NEGERI 1 BONGKANG ,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EABC2AEB05321B9756C9
Prov. Kalimantan Selatan,Kab. Tabalong,Kec. Haruai,SD NEGERI 2 BONGKANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F84CC51E26D88A14FCEB
Prov. Kalimantan Selatan,Kab. Tabalong,Kec. Haruai,SD NEGERI 2 HAYUP,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3594A5595D7669968766
Prov. Kalimantan Selatan,Kab. Tabalong,Kec. Haruai,SD NEGERI 2 LOK BATU ,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/041D14E4F39B794B24CB
Prov. Kalimantan Selatan,Kab. Tabalong,Kec. Haruai,SD NEGERI 3 BONGKANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/79C65FACC5493FA9F86B
Prov. Kalimantan Selatan,Kab. Tabalong,Kec. Haruai,SD NEGERI 4 HAYUP,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D91C0957F0E6D404EEB5
Prov. Kalimantan Selatan,Kab. Tabalong,Kec. Haruai,SD NEGERI AGUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/535C7002ADA6B5D63D0F
Prov. Kalimantan Selatan,Kab. Tabalong,Kec. Haruai,SD NEGERI BATU PULUT 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9DBE5911CD9526FC48E3
Prov. Kalimantan Selatan,Kab. Tabalong,Kec. Haruai,SD NEGERI DANAU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B6B9545E8636BF8C6070
Prov. Kalimantan Selatan,Kab. Tabalong,Kec. Haruai,SD NEGERI HAYUP 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8E9708E4FFE106150B13
Prov. Kalimantan Selatan,Kab. Tabalong,Kec. Haruai,SD NEGERI JURAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/547E58543FA51C9D0E0F
Prov. Kalimantan Selatan,Kab. Tabalong,Kec. Haruai,SD NEGERI KEMBANG KUNING 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/771C2EF0A2C2B5EBFE17
Prov. Kalimantan Selatan,Kab. Tabalong,Kec. Haruai,SD NEGERI KEMBANG KUNING 3,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A7F6530D0DA3AD3D7BA6
Prov. Kalimantan Selatan,Kab. Tabalong,Kec. Haruai,SD NEGERI LAMPAHUNGIN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3D2607618592DB2003BE
Prov. Kalimantan Selatan,Kab. Tabalong,Kec. Haruai,SD NEGERI LOK BATU 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E830CF041972CB396234
Prov. Kalimantan Selatan,Kab. Tabalong,Kec. Haruai,SD NEGERI MAHE PASAR 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/07A905461B1BF3E57A3D
Prov. Kalimantan Selatan,Kab. Tabalong,Kec. Haruai,SD NEGERI MARINDI 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FDC5B2DEE302EFEE18DA
Prov. Kalimantan Selatan,Kab. Tabalong,Kec. Haruai,SD NEGERI NAWIN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6FEA51F450F8F67B66D5
Prov. Kalimantan Selatan,Kab. Tabalong,Kec. Haruai,SD NEGERI NAWIN HILIR 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BA507951C5DCE40075F4
Prov. Kalimantan Selatan,Kab. Tabalong,Kec. Haruai,SD NEGERI NAWIN HILIR 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4397C10D2FC176DBAC51
Prov. Kalimantan Selatan,Kab. Tabalong,Kec. Haruai,SD NEGERI SARADANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9685A228027DE7FC26CF
Prov. Kalimantan Selatan,Kab. Tabalong,Kec. Haruai,SD NEGERI SARADANG 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1A5F607954C7F2DBA547
Prov. Kalimantan Selatan,Kab. Tabalong,Kec. Haruai,SD NEGERI SUPUT 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7DBF586191C4C63FFEF4
Prov. Kalimantan Selatan,Kab. Tabalong,Kec. Haruai,SD NEGERI SURIAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/43546CD5B11A870D7772
Prov. Kalimantan Selatan,Kab. Tabalong,Kec. Haruai,SD NEGERI WIRANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A7A22EF82E5F6BEEDFE4
