provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Kalimantan Selatan,Kab. Tapin,Kec. Bungur,SD NEGERI BANUA PADANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5DFBD0EC0654CBFC0971
Prov. Kalimantan Selatan,Kab. Tapin,Kec. Bungur,SD NEGERI BUNGUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F005441BAC0B00397608
Prov. Kalimantan Selatan,Kab. Tapin,Kec. Bungur,SD NEGERI BUNGUR BARU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/17B2BD7D9E035E74CC7B
Prov. Kalimantan Selatan,Kab. Tapin,Kec. Bungur,SD NEGERI HANGUI 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/50848F1B4E8D1E842B0A
Prov. Kalimantan Selatan,Kab. Tapin,Kec. Bungur,SD NEGERI KALUMPANG 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A18E674ABCE95BA3F744
Prov. Kalimantan Selatan,Kab. Tapin,Kec. Bungur,SD NEGERI KALUMPANG 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A2BD1CFDE500AC288965
Prov. Kalimantan Selatan,Kab. Tapin,Kec. Bungur,SD NEGERI KALUMPANG 3,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6F8B9A97253943601BDC
Prov. Kalimantan Selatan,Kab. Tapin,Kec. Bungur,SD NEGERI LINUH 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/21728DE9F1D284525AA0
Prov. Kalimantan Selatan,Kab. Tapin,Kec. Bungur,SD NEGERI PARING GULING,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DFCA4AC8938808B8F7AD
Prov. Kalimantan Selatan,Kab. Tapin,Kec. Bungur,SD NEGERI RANTAU BUJUR 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5FB010AF6639788E4AAD
Prov. Kalimantan Selatan,Kab. Tapin,Kec. Bungur,SD NEGERI RANTAU BUJUR 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1D4CFBC88365E6DE8CB9
Prov. Kalimantan Selatan,Kab. Tapin,Kec. Bungur,SD NEGERI SABAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F2DF2D71AB2498B43BAC
Prov. Kalimantan Selatan,Kab. Tapin,Kec. Bungur,SD NEGERI TIMBUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2D679A5F55B136BBD9C2
