provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Jambi,Kab. Tebo,Kec. Rimbo Bujang,SD NEGERI 030/VIII WIROTHO AGUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5CE504ACD5E4B9A0D57E
Prov. Jambi,Kab. Tebo,Kec. Rimbo Bujang,SD NEGERI 060/VIII PERINTIS,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4F807EB89FB78D6B2C90
Prov. Jambi,Kab. Tebo,Kec. Rimbo Bujang,SD NEGERI 073/VIII PERINTIS,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/483B57409F5E50DEE183
Prov. Jambi,Kab. Tebo,Kec. Rimbo Bujang,SD NEGERI 074/VIII WIROTHO AGUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D917AF53075C0F861FAF
Prov. Jambi,Kab. Tebo,Kec. Rimbo Bujang,SD NEGERI 075/VIII PEMATANG SAPAT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B545B5C3140FADC249C4
Prov. Jambi,Kab. Tebo,Kec. Rimbo Bujang,SD NEGERI 076/VIII PURWOHARJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/773E757FE1BE656C0302
Prov. Jambi,Kab. Tebo,Kec. Rimbo Bujang,SD NEGERI 077/VIII TIRTA KENCANA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8E677FFC276130BFE571
Prov. Jambi,Kab. Tebo,Kec. Rimbo Bujang,SD NEGERI 078/VIII SAPTA MULIA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7B45099A4A0404FFD48E
Prov. Jambi,Kab. Tebo,Kec. Rimbo Bujang,SD NEGERI 082/VIII WIROTHO AGUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/286C3FB6433D50C4E335
Prov. Jambi,Kab. Tebo,Kec. Rimbo Bujang,SD NEGERI 083/VIII RIMBO MULYO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/56ACDA904958AA8A49CE
Prov. Jambi,Kab. Tebo,Kec. Rimbo Bujang,SD NEGERI 084/VIII PURWOHARJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/77AD194C0B0C503EC17F
Prov. Jambi,Kab. Tebo,Kec. Rimbo Bujang,SD NEGERI 085/VIII TEGAL ARUM,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/451A7C28B367F425939A
Prov. Jambi,Kab. Tebo,Kec. Rimbo Bujang,SD NEGERI 093/VIII TEGAL ARUM,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/47B34694D60C93421899
Prov. Jambi,Kab. Tebo,Kec. Rimbo Bujang,SD NEGERI 118/VIII WIROTHO AGUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/377455579A949F5E5DC9
Prov. Jambi,Kab. Tebo,Kec. Rimbo Bujang,SD NEGERI 119/VIII TIRTA KENCANA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B9F4E51185BA10D1A62C
Prov. Jambi,Kab. Tebo,Kec. Rimbo Bujang,SD NEGERI 125/VIII PEMATANG SAPAT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/55669AD562E6BEB6E1C5
Prov. Jambi,Kab. Tebo,Kec. Rimbo Bujang,SD NEGERI 126/VIII PERINTIS,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C122D54A7B1E76D424BE
Prov. Jambi,Kab. Tebo,Kec. Rimbo Bujang,SD NEGERI 139/VIII SAPTA MULIA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2665047554B8B02E24A4
Prov. Jambi,Kab. Tebo,Kec. Rimbo Bujang,SD NEGERI 158/VIII RIMBO MULYO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B0A23B938CEAF86B8903
Prov. Jambi,Kab. Tebo,Kec. Rimbo Bujang,SD NEGERI 170/VIII PURWOHARJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/62D3D2C5331E35BD1C0F
Prov. Jambi,Kab. Tebo,Kec. Rimbo Bujang,SD NEGERI 176/VIII PERINTIS,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/93AE25643BBF187313CC
Prov. Jambi,Kab. Tebo,Kec. Rimbo Bujang,SD NEGERI 177/VIII TIRTA KENCANA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/99237C1AD9286A15B611
Prov. Jambi,Kab. Tebo,Kec. Rimbo Bujang,SD NEGERI 180/VIII WIROTHO AGUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/57108D0565D04FAAC6BE
Prov. Jambi,Kab. Tebo,Kec. Rimbo Bujang,SD NEGERI 186/VIII SAPTA MULIA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BF9C8E408058AB7DB885
Prov. Jambi,Kab. Tebo,Kec. Rimbo Bujang,SD NEGERI 188/VIII WIROTHO AGUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/59B14333CC7C54985BDD
