provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Jawa Tengah,Kab. Temanggung,Kec. Kandangan,SD NEGERI 01 KEDUNGUMPUL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B2B555EEC6C418AF0962
Prov. Jawa Tengah,Kab. Temanggung,Kec. Kandangan,SD NEGERI 1 GESING,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/36D3C8C421C25B4D0B7B
Prov. Jawa Tengah,Kab. Temanggung,Kec. Kandangan,SD NEGERI 1 KEMBANGSARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5452F3605BF6E0E0C54E
Prov. Jawa Tengah,Kab. Temanggung,Kec. Kandangan,SD NEGERI 1 MALEBO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B0B44616839295FEDB7D
Prov. Jawa Tengah,Kab. Temanggung,Kec. Kandangan,SD NEGERI 1 NGEMPLAK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/49E32053C4ABF3E451DA
Prov. Jawa Tengah,Kab. Temanggung,Kec. Kandangan,SD NEGERI 1 TLOGOPUCANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A8B5977413645F2D2B37
Prov. Jawa Tengah,Kab. Temanggung,Kec. Kandangan,SD NEGERI 2 GESING,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3F9C531B5F0E89F99B3B
Prov. Jawa Tengah,Kab. Temanggung,Kec. Kandangan,SD NEGERI 2 KEDUNGUMPUL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6ADFF1D8D076E066BB55
Prov. Jawa Tengah,Kab. Temanggung,Kec. Kandangan,SD NEGERI 2 KEMBANGSARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C6196CEE77865E1155F5
Prov. Jawa Tengah,Kab. Temanggung,Kec. Kandangan,SD NEGERI 2 MALEBO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5FD9E90C94D88BEF21D2
Prov. Jawa Tengah,Kab. Temanggung,Kec. Kandangan,SD NEGERI 2 NGEMPLAK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/773AE6C0FC24FD7CFB81
Prov. Jawa Tengah,Kab. Temanggung,Kec. Kandangan,SD NEGERI 2 TLOGOPUCANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3227C4ED1FDF38AB34E7
Prov. Jawa Tengah,Kab. Temanggung,Kec. Kandangan,SD NEGERI BALEDU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BEBAE44C13A1596455F6
Prov. Jawa Tengah,Kab. Temanggung,Kec. Kandangan,SD NEGERI BANJARSARI KANDANGAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/05EC23E02730D3579E28
Prov. Jawa Tengah,Kab. Temanggung,Kec. Kandangan,SD NEGERI BLIMBING,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/19C5AB81335785CBFA4E
Prov. Jawa Tengah,Kab. Temanggung,Kec. Kandangan,SD NEGERI CARUBAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6E27701B6D8F1C5731D8
Prov. Jawa Tengah,Kab. Temanggung,Kec. Kandangan,SD NEGERI KANDANGAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AD9BD985F00A2C8C2E84
Prov. Jawa Tengah,Kab. Temanggung,Kec. Kandangan,SD NEGERI KEDAWUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/94984AD226E19EF24F44
Prov. Jawa Tengah,Kab. Temanggung,Kec. Kandangan,SD NEGERI MARGOLELO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/05932B04239E788B3BB7
Prov. Jawa Tengah,Kab. Temanggung,Kec. Kandangan,SD NEGERI ROWO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D02EA89F25A94CCC15DA
Prov. Jawa Tengah,Kab. Temanggung,Kec. Kandangan,SD NEGERI SAMIRANAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CDDDCB34232FBC66CDB5
Prov. Jawa Tengah,Kab. Temanggung,Kec. Kandangan,SD NEGERI WADAS,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0352CED3BC4F173026E0
Prov. Jawa Tengah,Kab. Temanggung,Kec. Kandangan,SD FATIMA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/267945B8518924207293
