provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Nusa Tenggara Timur,Kab. Timor Tengah Utara,Kec. Insana Utara,SD KECIL MILI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7FD94911EFBC42B0DB5C
Prov. Nusa Tenggara Timur,Kab. Timor Tengah Utara,Kec. Insana Utara,SD NEGERI BOENTUNA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6F1CDD6AECC997511CDA
Prov. Nusa Tenggara Timur,Kab. Timor Tengah Utara,Kec. Insana Utara,SD NEGERI MANUFONU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8F40876EC583276C7081
Prov. Nusa Tenggara Timur,Kab. Timor Tengah Utara,Kec. Insana Utara,SD NEGERI NEOSMALELAT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ED17380926FA160E55FD
Prov. Nusa Tenggara Timur,Kab. Timor Tengah Utara,Kec. Insana Utara,SD NEGERI OESOKO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DF1CD9172D2AA2A5D69A
Prov. Nusa Tenggara Timur,Kab. Timor Tengah Utara,Kec. Insana Utara,SD NEGERI OESUSU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7C5AD9EF1928B69BAC30
Prov. Nusa Tenggara Timur,Kab. Timor Tengah Utara,Kec. Insana Utara,SD NEGERI TEMKUNA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1219F1EA3EA89EEDF9A8
Prov. Nusa Tenggara Timur,Kab. Timor Tengah Utara,Kec. Insana Utara,SD NEGERI USAPI BAKI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5BE2C8BAC5EA5DB3FDB3
Prov. Nusa Tenggara Timur,Kab. Timor Tengah Utara,Kec. Insana Utara,SD KATOLIK LOEL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/575B3B70467372FE86F0
Prov. Nusa Tenggara Timur,Kab. Timor Tengah Utara,Kec. Insana Utara,SD KATOLIK MISNOK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/759C5584FEA888229916
Prov. Nusa Tenggara Timur,Kab. Timor Tengah Utara,Kec. Insana Utara,SD KATOLIK OEKOLO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E535543B8F67855F4B3A
Prov. Nusa Tenggara Timur,Kab. Timor Tengah Utara,Kec. Insana Utara,SD KATOLIK WINI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/70A6A7288A55B365632B
