provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Sulawesi Tengah,Kab. Tojo Una-Una,Kec. Una - Una,SD NEGERI 1 WAKAI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8B153DD05D644477E754
Prov. Sulawesi Tengah,Kab. Tojo Una-Una,Kec. Una - Una,SD NEGERI 2 UNA - UNA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/20526A2BAFEA9CFF8AE9
Prov. Sulawesi Tengah,Kab. Tojo Una-Una,Kec. Una - Una,SD NEGERI 2 WAKAI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8A122B86FE92D7B16D7F
Prov. Sulawesi Tengah,Kab. Tojo Una-Una,Kec. Una - Una,SD NEGERI 3 WAKAI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1A0DAF2985338AFC1427
Prov. Sulawesi Tengah,Kab. Tojo Una-Una,Kec. Una - Una,SD NEGERI 4 WAKAI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/54F614D15EE686969AE2
Prov. Sulawesi Tengah,Kab. Tojo Una-Una,Kec. Una - Una,SD NEGERI BAMBU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6615F2DA040E39056D00
Prov. Sulawesi Tengah,Kab. Tojo Una-Una,Kec. Una - Una,SD NEGERI INPRES KATAMBUA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/80046A2914A85B292A46
Prov. Sulawesi Tengah,Kab. Tojo Una-Una,Kec. Una - Una,SD NEGERI KAVETAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A457794B384334ABD951
Prov. Sulawesi Tengah,Kab. Tojo Una-Una,Kec. Una - Una,SD NEGERI LUANGON,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B4E61D9D4FAFFA6A2ECC
Prov. Sulawesi Tengah,Kab. Tojo Una-Una,Kec. Una - Una,SD NEGERI TANINGKOLA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/12860C94CE87A174D869
Prov. Sulawesi Tengah,Kab. Tojo Una-Una,Kec. Una - Una,SD NEGERI UNA-UNA PULAU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5FA10B01F99E1B587EA8
