provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Jawa Timur,Kab. Tuban,Kec. Montong,SD NEGERI BRINGIN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3304682AB803F94F175F
Prov. Jawa Timur,Kab. Tuban,Kec. Montong,SD NEGERI GUWOTERUS I,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BE7FD332D34D6F6888C9
Prov. Jawa Timur,Kab. Tuban,Kec. Montong,SD NEGERI GUWOTERUS II,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C5001A75ED695072AC1F
Prov. Jawa Timur,Kab. Tuban,Kec. Montong,SD NEGERI JETAK II,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6862110EC0356115863C
Prov. Jawa Timur,Kab. Tuban,Kec. Montong,SD NEGERI JETAK III,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/853F52252151889E6FE9
Prov. Jawa Timur,Kab. Tuban,Kec. Montong,SD NEGERI MAINDU I,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4129D503EBE8FD4DB4F0
Prov. Jawa Timur,Kab. Tuban,Kec. Montong,SD NEGERI MAINDU II,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6F949A4855743FEB5F70
Prov. Jawa Timur,Kab. Tuban,Kec. Montong,SD NEGERI MANJUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/922DA8A3090D137DB4B5
Prov. Jawa Timur,Kab. Tuban,Kec. Montong,SD NEGERI MONTONGSEKAR I,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4DA232B2E22E2B911733
Prov. Jawa Timur,Kab. Tuban,Kec. Montong,SD NEGERI MONTONGSEKAR III,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C7301A9266A9948A0143
Prov. Jawa Timur,Kab. Tuban,Kec. Montong,SD NEGERI NGULUHAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/40492626A2F198F3F176
Prov. Jawa Timur,Kab. Tuban,Kec. Montong,SD NEGERI PAKEL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D5CA3F4D1C9E80468EB0
Prov. Jawa Timur,Kab. Tuban,Kec. Montong,SD NEGERI PUCANGAN II,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4CE779E20EC31CFEDDFD
Prov. Jawa Timur,Kab. Tuban,Kec. Montong,SD NEGERI TALANGKEMBAR I,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/914BC6C67B475F0170DB
Prov. Jawa Timur,Kab. Tuban,Kec. Montong,SD NEGERI TALANGKEMBAR II,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/81830D19E9F0B9DCC246
Prov. Jawa Timur,Kab. Tuban,Kec. Montong,SD NEGERI TANGGULANGIN I,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BA4CF49C8D4605189F5E
Prov. Jawa Timur,Kab. Tuban,Kec. Montong,SD NEGERI TANGGULANGIN II,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BAD8B4DC06C0DDF545AC
Prov. Jawa Timur,Kab. Tuban,Kec. Montong,SDN PUCANGAN 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/00CC7F0BB68AF3763780
Prov. Jawa Timur,Kab. Tuban,Kec. Montong,SDN SUMURGUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/500ECE7EDED892621B82
