provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Sulawesi Tenggara,Kab. Wakatobi,Kec. Wangi-Wangi Selatan,SD NEGERI 1 KAPOTA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B07E9FEB6AD3DE5C4902
Prov. Sulawesi Tenggara,Kab. Wakatobi,Kec. Wangi-Wangi Selatan,SD NEGERI 1 LIYA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/69FCF757CD236C4DF229
Prov. Sulawesi Tenggara,Kab. Wakatobi,Kec. Wangi-Wangi Selatan,SD NEGERI 1 MANDATI I,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/034D868EEDD35D3F07CB
Prov. Sulawesi Tenggara,Kab. Wakatobi,Kec. Wangi-Wangi Selatan,SD NEGERI 1 MOLA UTARA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/13A5E50927DE844D9446
Prov. Sulawesi Tenggara,Kab. Wakatobi,Kec. Wangi-Wangi Selatan,SD NEGERI 2 KAPOTA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/76F35306FF73F583A901
Prov. Sulawesi Tenggara,Kab. Wakatobi,Kec. Wangi-Wangi Selatan,SD NEGERI 2 LIYA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C854464039607AFBF3AB
Prov. Sulawesi Tenggara,Kab. Wakatobi,Kec. Wangi-Wangi Selatan,SD NEGERI 2 MANDATI I,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BE070A5C054213AFFCE5
Prov. Sulawesi Tenggara,Kab. Wakatobi,Kec. Wangi-Wangi Selatan,SD NEGERI 2 MANDATI II,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B984BCF8E9CD4020F5F0
Prov. Sulawesi Tenggara,Kab. Wakatobi,Kec. Wangi-Wangi Selatan,SD NEGERI 2 MOLA UTARA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F2AEC094A5C95ABEB2CD
Prov. Sulawesi Tenggara,Kab. Wakatobi,Kec. Wangi-Wangi Selatan,SD NEGERI BIRA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C983C38C1E05DD3B8D08
Prov. Sulawesi Tenggara,Kab. Wakatobi,Kec. Wangi-Wangi Selatan,SD NEGERI BUKU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/145FB2BDDC10DBD84F54
Prov. Sulawesi Tenggara,Kab. Wakatobi,Kec. Wangi-Wangi Selatan,SD NEGERI I MANDATI II,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E24E9A2E9B4959D3AB29
Prov. Sulawesi Tenggara,Kab. Wakatobi,Kec. Wangi-Wangi Selatan,SD NEGERI KABITA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AB062F0FE1957DDA581D
Prov. Sulawesi Tenggara,Kab. Wakatobi,Kec. Wangi-Wangi Selatan,SD NEGERI KERATON LIYA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/922202F7E76842C4DBDF
Prov. Sulawesi Tenggara,Kab. Wakatobi,Kec. Wangi-Wangi Selatan,SD NEGERI KOLO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A1B374FF0E861345590D
Prov. Sulawesi Tenggara,Kab. Wakatobi,Kec. Wangi-Wangi Selatan,SD NEGERI KOMALA PAGI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/76F78E674D702C214C9B
Prov. Sulawesi Tenggara,Kab. Wakatobi,Kec. Wangi-Wangi Selatan,SD NEGERI MATAHORA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9E1857D2E4B3D03C8177
Prov. Sulawesi Tenggara,Kab. Wakatobi,Kec. Wangi-Wangi Selatan,SD NEGERI MELAI ONE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/312B474F73F80F40C79A
Prov. Sulawesi Tenggara,Kab. Wakatobi,Kec. Wangi-Wangi Selatan,SD NEGERI MOLA SELATAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6244D4BBCAC97C35F2B7
Prov. Sulawesi Tenggara,Kab. Wakatobi,Kec. Wangi-Wangi Selatan,SD NEGERI NUMANA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/850CAB2CD3F3BC26380B
Prov. Sulawesi Tenggara,Kab. Wakatobi,Kec. Wangi-Wangi Selatan,SD NEGERI ONE MELANGKA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3E077306EECA2A749663
Prov. Sulawesi Tenggara,Kab. Wakatobi,Kec. Wangi-Wangi Selatan,SD SWASTA MARITIM MOLA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FDD3B204D5E0BC9BCE1F
