provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Jawa Tengah,Kab. Wonogiri,Kec. Selogiri,SD N 1 JENDI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8D417FFD40DBBC486962
Prov. Jawa Tengah,Kab. Wonogiri,Kec. Selogiri,SD N 1 KELORAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C71D5A70C23AAB3ED18A
Prov. Jawa Tengah,Kab. Wonogiri,Kec. Selogiri,SD N 1 NAMBANGAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/35A1CA8093795229BFA0
Prov. Jawa Tengah,Kab. Wonogiri,Kec. Selogiri,SD N 1 PULE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2B98208B4B3172847D94
Prov. Jawa Tengah,Kab. Wonogiri,Kec. Selogiri,SD N 1 TEKARAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DE9A2BF75EB841918A65
Prov. Jawa Tengah,Kab. Wonogiri,Kec. Selogiri,SD N 2 KRISAK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FE84DBFDE0A0BFF8F598
Prov. Jawa Tengah,Kab. Wonogiri,Kec. Selogiri,SD N 2 NAMBANGAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/953AA21AF4C62B399D06
Prov. Jawa Tengah,Kab. Wonogiri,Kec. Selogiri,SD N 2 PARE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A7A966B8349A03BE8562
Prov. Jawa Tengah,Kab. Wonogiri,Kec. Selogiri,SD N 3 JATEN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2A1CD521D3D4E16504B4
Prov. Jawa Tengah,Kab. Wonogiri,Kec. Selogiri,SD N 3 KELORAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1D2CB0B4084080C459DA
Prov. Jawa Tengah,Kab. Wonogiri,Kec. Selogiri,SD N 3 NAMBANGAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A9B6C10773E4ED7D7AB8
Prov. Jawa Tengah,Kab. Wonogiri,Kec. Selogiri,SD N 3 TEKARAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5004E46F48E31A10EE1F
Prov. Jawa Tengah,Kab. Wonogiri,Kec. Selogiri,SD N I KEPATIHAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/83EFC6135C6CAE4B4470
Prov. Jawa Tengah,Kab. Wonogiri,Kec. Selogiri,SD N I PARE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/49B5C001B7936FFAECD6
Prov. Jawa Tengah,Kab. Wonogiri,Kec. Selogiri,SD N I SENDANGIJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/62B40E1299350D1E6A1C
Prov. Jawa Tengah,Kab. Wonogiri,Kec. Selogiri,SD N II JENDI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F9E642D367936A4B294C
Prov. Jawa Tengah,Kab. Wonogiri,Kec. Selogiri,SD N II KEPATIHAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C8AB4D36F4BBF651E160
Prov. Jawa Tengah,Kab. Wonogiri,Kec. Selogiri,SD N III PULE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A8548FEBD03A5C63D40E
Prov. Jawa Tengah,Kab. Wonogiri,Kec. Selogiri,SD N KARANGTENGAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E96F8945014CD41B28BE
Prov. Jawa Tengah,Kab. Wonogiri,Kec. Selogiri,SD N SINGODUTAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2591275E26F3F9ACD6D3
Prov. Jawa Tengah,Kab. Wonogiri,Kec. Selogiri,SD NEGERI 1 KRISAK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/09694B473C9A9B0C08D0
Prov. Jawa Tengah,Kab. Wonogiri,Kec. Selogiri,SD NEGERI 2 SENDANGIJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/58819CCB37DF0B93CEB9
Prov. Jawa Tengah,Kab. Wonogiri,Kec. Selogiri,SD NEGERI 2 TEKARAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C00741DC03EE22AD992B
Prov. Jawa Tengah,Kab. Wonogiri,Kec. Selogiri,SD NEGERI 3 KRISAK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AF671AFDCCBDB2E808E5
Prov. Jawa Tengah,Kab. Wonogiri,Kec. Selogiri,SD NEGERI 4 PARE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B4A4A32DB01AF81505AF
Prov. Jawa Tengah,Kab. Wonogiri,Kec. Selogiri,SD NEGERI BULU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4694D5E24BC2788C5D2E
Prov. Jawa Tengah,Kab. Wonogiri,Kec. Selogiri,SD NEGERI I JATEN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2DFC0E0BB9454F6F6F53
Prov. Jawa Tengah,Kab. Wonogiri,Kec. Selogiri,SD NEGERI II KELORAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9FEB0F0D1B82E8919587
Prov. Jawa Tengah,Kab. Wonogiri,Kec. Selogiri,SD NEGERI KALIANCAR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5EB521223B74273B749C
Prov. Jawa Tengah,Kab. Wonogiri,Kec. Selogiri,SD ISLAM INTEGRAL MUHAMMADIYAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E31229B1A9A807B71B17
Prov. Jawa Tengah,Kab. Wonogiri,Kec. Selogiri,SDIU NAWA KARTIKA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A01BF36586706F83E5A5
