provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Lampung,Kota Bandar Lampung,Kec. Langkapura,SD NEGERI 1 GUNUNG TERANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/01F23674F981842618EC
Prov. Lampung,Kota Bandar Lampung,Kec. Langkapura,SD NEGERI 1 LANGKAPURA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9A98CF1C79F77E24FA50
Prov. Lampung,Kota Bandar Lampung,Kec. Langkapura,SD NEGERI 2 GUNUNG TERANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/812983BD0213F4AA39A9
Prov. Lampung,Kota Bandar Lampung,Kec. Langkapura,SD NEGERI 2 LANGKAPURA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2C2CA3D40CCADE2C3E25
Prov. Lampung,Kota Bandar Lampung,Kec. Langkapura,SD NEGERI 2 SEGALAMIDER,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/66CA336CDE50D7465EF7
Prov. Lampung,Kota Bandar Lampung,Kec. Langkapura,SD NEGERI 3 GUNUNG TERANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8497A2059A1CA89F6AAD
Prov. Lampung,Kota Bandar Lampung,Kec. Langkapura,SD NEGERI 3 LANGKAPURA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/225E90CE2E2BE1CCB7C7
Prov. Lampung,Kota Bandar Lampung,Kec. Langkapura,SD NEGERI 3 SEGALAMIDER,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F683938BDFCA98190428
Prov. Lampung,Kota Bandar Lampung,Kec. Langkapura,SD IT Fitrah Insani Langkapura,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9A88F6F66F3A0474E586
Prov. Lampung,Kota Bandar Lampung,Kec. Langkapura,SD IT PELITA KHOIRUL UMMAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7A33EFBB6257988125DA
Prov. Lampung,Kota Bandar Lampung,Kec. Langkapura,SD KARTIKA II-6,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FE1776C10E53C5E0CCFF
Prov. Lampung,Kota Bandar Lampung,Kec. Langkapura,SDIT MUHAMMADIYAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/05CFABFCF0415D9955F9
