provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Jawa Barat,Kota Bandung,Kec. Cidadap,SDN 010 CIDADAP KOTA BANDUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EABB2233D7162776509A
Prov. Jawa Barat,Kota Bandung,Kec. Cidadap,SDN 030 CIRATEUN KOTA BANDUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C7924EDFEBAC0A6E8BA9
Prov. Jawa Barat,Kota Bandung,Kec. Cidadap,SDN 085 CIUMBULEUIT KOTA BANDUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4E7CDBC71ECA958BE536
Prov. Jawa Barat,Kota Bandung,Kec. Cidadap,SDN 108 CIUMBULEUIT KOTA BANDUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/21574BFC18BAEB3A42C8
Prov. Jawa Barat,Kota Bandung,Kec. Cidadap,SDN 134 PANORAMA KOTA BANDUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/19301B5A4BD62E111894
Prov. Jawa Barat,Kota Bandung,Kec. Cidadap,SDN 188 BANDUNG BARU KOTA BANDUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2642EB768886C763B783
Prov. Jawa Barat,Kota Bandung,Kec. Cidadap,SDN 204 CIDADAP KOTA BANDUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A458EBBF4F7438B731F0
Prov. Jawa Barat,Kota Bandung,Kec. Cidadap,SD ADZKIA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E3D23AEA28B7B5AD961C
Prov. Jawa Barat,Kota Bandung,Kec. Cidadap,SD AL HUSAINIYYAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EA0AB8E11157C7E3E601
Prov. Jawa Barat,Kota Bandung,Kec. Cidadap,SD AL- HIDAYAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FF2BFF0C8BC283A0379A
Prov. Jawa Barat,Kota Bandung,Kec. Cidadap,SD KRISTEN HIDUP BARU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B54F22D195165F3D6ABA
Prov. Jawa Barat,Kota Bandung,Kec. Cidadap,SD KUNTUM CEMERLANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ECA9AB682C0AB8872D5E
Prov. Jawa Barat,Kota Bandung,Kec. Cidadap,SD MUHAMMADIYAH 6,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D26492F130F87CE178D2
Prov. Jawa Barat,Kota Bandung,Kec. Cidadap,SD SURUUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2C88043EFFE5229E0DE7
Prov. Jawa Barat,Kota Bandung,Kec. Cidadap,SD STAMFORD BANDUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F47C3C9AF5C3C7292C22
