provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Nusa Tenggara Barat,Kota Bima,Kec. RasanaE Timur,SDN 18 DODU KOTA BIMA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EF3150352982EDA4C293
Prov. Nusa Tenggara Barat,Kota Bima,Kec. RasanaE Timur,SDN 31 LELAMASE KOTA BIMA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D644B3D50641EC94AD45
Prov. Nusa Tenggara Barat,Kota Bima,Kec. RasanaE Timur,SDN 33 LAMPE KOTA BIMA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4E762C6C566D11AD09C3
Prov. Nusa Tenggara Barat,Kota Bima,Kec. RasanaE Timur,SDN 35 NUNGGA KOTA BIMA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0E90A656FB8EB4B9FB9D
Prov. Nusa Tenggara Barat,Kota Bima,Kec. RasanaE Timur,SDN 47 KODO KOTA BIMA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3CEC1ADC3634290809EF
Prov. Nusa Tenggara Barat,Kota Bima,Kec. RasanaE Timur,SDN 48 KUMBE KOTA BIMA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/147BB046C85D598D9AD7
Prov. Nusa Tenggara Barat,Kota Bima,Kec. RasanaE Timur,SDN 53 OI FOO KOTA BIMA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/436C67BE085A1B07591C
Prov. Nusa Tenggara Barat,Kota Bima,Kec. RasanaE Timur,SDN 6 KODO KOTA BIMA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/618DE6A59F85FC564B9B
Prov. Nusa Tenggara Barat,Kota Bima,Kec. RasanaE Timur,SDN 63 DODU KOTA BIMA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2A30E3EF00F083FF006C
Prov. Nusa Tenggara Barat,Kota Bima,Kec. RasanaE Timur,SDN 64 SORI KOTA BIMA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D7F848DFC34C7A241655
Prov. Nusa Tenggara Barat,Kota Bima,Kec. RasanaE Timur,SDN 66 KUTA KOTA BIMA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6377CC80BA152DB21822
Prov. Nusa Tenggara Barat,Kota Bima,Kec. RasanaE Timur,SDN 69 KABANTA KOTA BIMA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8CBEE0ABBEC6E706B256
Prov. Nusa Tenggara Barat,Kota Bima,Kec. RasanaE Timur,SDN 7 KUMBE KOTA BIMA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A3B4E2295FC22AB6F6C5
Prov. Nusa Tenggara Barat,Kota Bima,Kec. RasanaE Timur,SDN 73 SABALI KOTA BIMA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B292A1D227DACB6DDAA2
Prov. Nusa Tenggara Barat,Kota Bima,Kec. RasanaE Timur,SDN 76 TOLOWERI KOTA BIMA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AE6F29A812FE1DA91C60
