provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Jawa Timur,Kota Blitar,Kec. Sukorejo,UPT Satuan Pendidikan SDN Blitar,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7F9DBE676C55A294A72B
Prov. Jawa Timur,Kota Blitar,Kec. Sukorejo,UPT Satuan Pendidikan SDN Karangsari 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BF1B10FBD492B518780D
Prov. Jawa Timur,Kota Blitar,Kec. Sukorejo,UPT Satuan Pendidikan SDN Karangsari 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3BCBF5F38B3E3289B50B
Prov. Jawa Timur,Kota Blitar,Kec. Sukorejo,UPT Satuan Pendidikan SDN Karangsari 3,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DAEB0EB2B9F4B90731C1
Prov. Jawa Timur,Kota Blitar,Kec. Sukorejo,UPT Satuan Pendidikan SDN Pakunden 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/698C3DCF58D6E5B5FCB5
Prov. Jawa Timur,Kota Blitar,Kec. Sukorejo,UPT Satuan Pendidikan SDN Pakunden 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C81F31FDD8795EA8D6B0
Prov. Jawa Timur,Kota Blitar,Kec. Sukorejo,UPT Satuan Pendidikan SDN Sukorejo 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0F08D7814DBD1528A33C
Prov. Jawa Timur,Kota Blitar,Kec. Sukorejo,UPT Satuan Pendidikan SDN Sukorejo 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/902DA840E3881A8CBA7F
Prov. Jawa Timur,Kota Blitar,Kec. Sukorejo,UPT Satuan Pendidikan SDN Sukorejo 3,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/07FB48086F891F4BD925
Prov. Jawa Timur,Kota Blitar,Kec. Sukorejo,UPT Satuan Pendidikan SDN Tanjungsari 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5A7244B3FD7E3097C72B
Prov. Jawa Timur,Kota Blitar,Kec. Sukorejo,UPT Satuan Pendidikan SDN Tanjungsari 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8E84EECF591B20AC9944
Prov. Jawa Timur,Kota Blitar,Kec. Sukorejo,UPT Satuan Pendidikan SDN Tlumpu,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BBD1768121A5FBFA1750
Prov. Jawa Timur,Kota Blitar,Kec. Sukorejo,UPT Satuan Pendidikan SDN Turi 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6E6FE840FB06DC5DB2D7
Prov. Jawa Timur,Kota Blitar,Kec. Sukorejo,UPT Satuan Pendidikan SDN Turi 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D8450B08D059A6C93C09
Prov. Jawa Timur,Kota Blitar,Kec. Sukorejo,SD Islam Sukorejo,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E645C9BB25661C809563
Prov. Jawa Timur,Kota Blitar,Kec. Sukorejo,SD ISLAM TANJUNGSARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6DFDD579C51DF50084F6
Prov. Jawa Timur,Kota Blitar,Kec. Sukorejo,SD KATOLIK YOS SUDARSO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/94E3AC9B54A3655B83F0
Prov. Jawa Timur,Kota Blitar,Kec. Sukorejo,SDI MAMBA UL HISAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F828DD8A84E60714D23F
Prov. Jawa Timur,Kota Blitar,Kec. Sukorejo,SDS ISLAM TARBIYATUL FALLAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3C867FDADABF4F458518
