provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Banten,Kota Cilegon,Kec. Citangkil,SD N CIRIU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EB8F70A585A040096161
Prov. Banten,Kota Cilegon,Kec. Citangkil,SD N CITANGKIL BARU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/36102505CD886F56B6BB
Prov. Banten,Kota Cilegon,Kec. Citangkil,SD N DELINGSENG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3CB54B84F05C62E8305D
Prov. Banten,Kota Cilegon,Kec. Citangkil,SD N DERINGO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/630AFFFC5635212A9D6A
Prov. Banten,Kota Cilegon,Kec. Citangkil,SD N KEBONSARI 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BE7F7CE53ABF79391206
Prov. Banten,Kota Cilegon,Kec. Citangkil,SD N KELELET,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/815B904FCBC5E6C0C011
Prov. Banten,Kota Cilegon,Kec. Citangkil,SD N KEPUH DENOK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CC39FD894B60792A81C7
Prov. Banten,Kota Cilegon,Kec. Citangkil,SD N KRENCENG 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9903958A2547B6F9D058
Prov. Banten,Kota Cilegon,Kec. Citangkil,SD N KRENCENG I,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/81878314E10E0BE366A0
Prov. Banten,Kota Cilegon,Kec. Citangkil,SD N KUBANG LESUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C41567AF4A403ED52E6A
Prov. Banten,Kota Cilegon,Kec. Citangkil,SD N KUBANG SEPAT I,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/25906D85B4C02B45DC28
Prov. Banten,Kota Cilegon,Kec. Citangkil,SD N KUBANG SEPAT II,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7F59AF19F472F35EE10F
Prov. Banten,Kota Cilegon,Kec. Citangkil,SD N PEKALONGAN I,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/23261AE245E51A80C5E5
Prov. Banten,Kota Cilegon,Kec. Citangkil,SD N PEKALONGAN II,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BA37E405F0F9698E4447
Prov. Banten,Kota Cilegon,Kec. Citangkil,SD N SAMANGRAYA I,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/942450E9648D8BDABA57
Prov. Banten,Kota Cilegon,Kec. Citangkil,SD N SAMANGRAYA II,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F4CDE0D1B72357559221
Prov. Banten,Kota Cilegon,Kec. Citangkil,SD N TAMAN BARU 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FF8FC43591A040184174
Prov. Banten,Kota Cilegon,Kec. Citangkil,SD N TEGAL CABE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AE6738392EEE5B1017C7
Prov. Banten,Kota Cilegon,Kec. Citangkil,SD N TEMIANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BA1D1735DA1E6CB2DB79
Prov. Banten,Kota Cilegon,Kec. Citangkil,SD N WARNASARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E34867323FC1C6BBB73B
Prov. Banten,Kota Cilegon,Kec. Citangkil,SD NEGERI KEBONSARI I,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7F78E9283B48E474EEC8
Prov. Banten,Kota Cilegon,Kec. Citangkil,SDN KUBANG LESUNG KULON,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B5785BD5340012E9545E
Prov. Banten,Kota Cilegon,Kec. Citangkil,SDN TAMAN BARU 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F6754F820F5D812A818B
Prov. Banten,Kota Cilegon,Kec. Citangkil,SDN WALIKUKUN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BEE873C9934C1DF99552
Prov. Banten,Kota Cilegon,Kec. Citangkil,SD IT AL-KHAIRIYAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/577CA33591DDF2EAE4E1
Prov. Banten,Kota Cilegon,Kec. Citangkil,SD MADANI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A02CF0F41FA6BB2063E0
Prov. Banten,Kota Cilegon,Kec. Citangkil,SDIT MUMTAZ AL-BANTANI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3F19C149D913EA023375
