provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Jawa Timur,Kota Kediri,Kec. Kota Kediri,SD NEGERI BALOWERTI 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CBF92A6FF8391578A83C
Prov. Jawa Timur,Kota Kediri,Kec. Kota Kediri,SD NEGERI BALOWERTI 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BF691FEA5469CB8D278B
Prov. Jawa Timur,Kota Kediri,Kec. Kota Kediri,SD NEGERI BALOWERTI 3,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3F7666EFF0349AD5A098
Prov. Jawa Timur,Kota Kediri,Kec. Kota Kediri,SD NEGERI BANJARAN 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7218B093756783769F53
Prov. Jawa Timur,Kota Kediri,Kec. Kota Kediri,SD NEGERI BANJARAN 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4720706D97A6DDCB1F56
Prov. Jawa Timur,Kota Kediri,Kec. Kota Kediri,SD NEGERI BANJARAN 3,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BAE6FDAC199A9BD7AD08
Prov. Jawa Timur,Kota Kediri,Kec. Kota Kediri,SD NEGERI BANJARAN 4,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DAFFB4706A6CD69826E6
Prov. Jawa Timur,Kota Kediri,Kec. Kota Kediri,SD NEGERI BANJARAN 5,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D7D519BC47CC3695A53E
Prov. Jawa Timur,Kota Kediri,Kec. Kota Kediri,SD NEGERI BANJARAN 6,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/597B8EE8D35DF66B82CD
Prov. Jawa Timur,Kota Kediri,Kec. Kota Kediri,SD NEGERI DANDANGAN 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9A836C8DCF79F4F5D55E
Prov. Jawa Timur,Kota Kediri,Kec. Kota Kediri,SD NEGERI DANDANGAN 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9A8ED09D9BE961A5931B
Prov. Jawa Timur,Kota Kediri,Kec. Kota Kediri,SD NEGERI JAGALAN 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/954BCA8E9EC8D40CEB0F
Prov. Jawa Timur,Kota Kediri,Kec. Kota Kediri,SD NEGERI JAGALAN 3,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5C71F29E850641B1939D
Prov. Jawa Timur,Kota Kediri,Kec. Kota Kediri,SD NEGERI JAGALAN 5,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/13EDC11282DB4BE17431
Prov. Jawa Timur,Kota Kediri,Kec. Kota Kediri,SD NEGERI KALIOMBO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4B4F207A085D0D1B3852
Prov. Jawa Timur,Kota Kediri,Kec. Kota Kediri,SD NEGERI KAMPUNGDALEM 3,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A14F76D05B7A0BB446B1
Prov. Jawa Timur,Kota Kediri,Kec. Kota Kediri,SD NEGERI KAMPUNGDALEM 4,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8D58300D5F2CAC4B4763
Prov. Jawa Timur,Kota Kediri,Kec. Kota Kediri,SD NEGERI KAMPUNGDALEM 5,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1C67E9A0A70F3356C1D3
Prov. Jawa Timur,Kota Kediri,Kec. Kota Kediri,SD NEGERI KAMPUNGDALEM 6,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4076B7313DB0AE40CA22
Prov. Jawa Timur,Kota Kediri,Kec. Kota Kediri,SD NEGERI MANISRENGGO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/627CAC40B67C90601AF6
Prov. Jawa Timur,Kota Kediri,Kec. Kota Kediri,SD NEGERI NGADIREJO 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8B83EA36576198CF91A2
Prov. Jawa Timur,Kota Kediri,Kec. Kota Kediri,SD NEGERI NGADIREJO 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5130D6A2C5BCED51153F
Prov. Jawa Timur,Kota Kediri,Kec. Kota Kediri,SD NEGERI NGADIREJO 3,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EA62FF70DF905BD6CA5E
Prov. Jawa Timur,Kota Kediri,Kec. Kota Kediri,SD NEGERI NGADIREJO 5,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/86BE208B1B3F9E65A75D
Prov. Jawa Timur,Kota Kediri,Kec. Kota Kediri,SD NEGERI NGRONGGO 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/556C8E030289A66EA985
Prov. Jawa Timur,Kota Kediri,Kec. Kota Kediri,SD NEGERI NGRONGGO 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1465EC2EC0065609815B
Prov. Jawa Timur,Kota Kediri,Kec. Kota Kediri,SD NEGERI NGRONGGO 3,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0B1B33DCCD1DEE82FDB2
Prov. Jawa Timur,Kota Kediri,Kec. Kota Kediri,SD NEGERI NGRONGGO 4 ,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/90BDF39944661BA78648
Prov. Jawa Timur,Kota Kediri,Kec. Kota Kediri,SD NEGERI NGRONGGO 5,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F33034BDF2117C28675E
Prov. Jawa Timur,Kota Kediri,Kec. Kota Kediri,SD NEGERI NGRONGGO 6,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B4CD1A85B0371F9CE4A0
Prov. Jawa Timur,Kota Kediri,Kec. Kota Kediri,SD NEGERI NGRONGGO 8,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2654A23126E3F178E46E
Prov. Jawa Timur,Kota Kediri,Kec. Kota Kediri,SD NEGERI REJOMULYO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4B625A70713484EF4294
Prov. Jawa Timur,Kota Kediri,Kec. Kota Kediri,SD NEGERI SEMAMPIR 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/116BE36BFD3C3623694E
Prov. Jawa Timur,Kota Kediri,Kec. Kota Kediri,SD NEGERI SEMAMPIR 4,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4DADFABF4E0155337650
Prov. Jawa Timur,Kota Kediri,Kec. Kota Kediri,SD NEGERI SETONOPANDE 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/12E6AB44ACF39A558164
Prov. Jawa Timur,Kota Kediri,Kec. Kota Kediri,SD 1 PAWYATAN DAHA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BC63AEC5475D58DBD451
Prov. Jawa Timur,Kota Kediri,Kec. Kota Kediri,SD 2 PAWYATAN DAHA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D3182228A621BFFB37F2
Prov. Jawa Timur,Kota Kediri,Kec. Kota Kediri,SD ISLAM AL HUDA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D817156D8884BFD05AAB
Prov. Jawa Timur,Kota Kediri,Kec. Kota Kediri,SD ISLAM AL HUDA 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4CEA048A656F0DC406BB
Prov. Jawa Timur,Kota Kediri,Kec. Kota Kediri,SD KATOLIK SANTA MARIA 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7A1043A803200BEF7B62
Prov. Jawa Timur,Kota Kediri,Kec. Kota Kediri,SD KATOLIK SANTO YOSEF,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/228C8C92CF9736B04E2B
Prov. Jawa Timur,Kota Kediri,Kec. Kota Kediri,SD KRISTEN PETRA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8C1F3C6AAD23DAE15781
Prov. Jawa Timur,Kota Kediri,Kec. Kota Kediri,SD PLUS RAHMAT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A5AA874A5C09631A22AA
Prov. Jawa Timur,Kota Kediri,Kec. Kota Kediri,SD PLUS SUNAN AMPEL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/89F87A65955DA6222DF0
Prov. Jawa Timur,Kota Kediri,Kec. Kota Kediri,SD YBPK SEMAMPIR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0FFD216DD0A965819589
