provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Nusa Tenggara Barat,Kota Mataram,Kec. Ampenan,SD NEGERI 07 AMPENAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9E52250EFE59A27752BB
Prov. Nusa Tenggara Barat,Kota Mataram,Kec. Ampenan,SD NEGERI 1 AMPENAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6664B9379C1316FE5C19
Prov. Nusa Tenggara Barat,Kota Mataram,Kec. Ampenan,SD NEGERI 11 AMPENAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/17B9AE8706EBC2BE2D09
Prov. Nusa Tenggara Barat,Kota Mataram,Kec. Ampenan,SD NEGERI 12 AMPENAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9E4062116899B7D5A2D3
Prov. Nusa Tenggara Barat,Kota Mataram,Kec. Ampenan,SD NEGERI 13 AMPENAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9E939B684915B5FEE701
Prov. Nusa Tenggara Barat,Kota Mataram,Kec. Ampenan,SD NEGERI 14 AMPENAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/55C668A1A7970D29A87E
Prov. Nusa Tenggara Barat,Kota Mataram,Kec. Ampenan,SD NEGERI 16 AMPENAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A5CCCB324D2329666354
Prov. Nusa Tenggara Barat,Kota Mataram,Kec. Ampenan,SD NEGERI 17 AMPENAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1BAC366C421A80AB0782
Prov. Nusa Tenggara Barat,Kota Mataram,Kec. Ampenan,SD NEGERI 18 AMPENAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B7565371971CAA328D99
Prov. Nusa Tenggara Barat,Kota Mataram,Kec. Ampenan,SD NEGERI 21 AMPENAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E70C0F4299D4D66CCFF9
Prov. Nusa Tenggara Barat,Kota Mataram,Kec. Ampenan,SD NEGERI 22 AMPENAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EEF8C1A676F19F3B1076
Prov. Nusa Tenggara Barat,Kota Mataram,Kec. Ampenan,SD NEGERI 23 AMPENAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B2ECE68DE9E0899AD2E4
Prov. Nusa Tenggara Barat,Kota Mataram,Kec. Ampenan,SD NEGERI 24 AMPENAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/18CB593724BBEBABBF79
Prov. Nusa Tenggara Barat,Kota Mataram,Kec. Ampenan,SD NEGERI 28 AMPENAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/68FE3DD89F017EADCF08
Prov. Nusa Tenggara Barat,Kota Mataram,Kec. Ampenan,SD NEGERI 29 AMPENAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B86D2E5D412F075558A4
Prov. Nusa Tenggara Barat,Kota Mataram,Kec. Ampenan,SD NEGERI 30 AMPENAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FE8192146258D9006A8E
Prov. Nusa Tenggara Barat,Kota Mataram,Kec. Ampenan,SD NEGERI 33 AMPENAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A7AF5448131F2F591FFA
