provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Sumatera Utara,Kota Medan,Kec. Medan Baru,SDN 060882,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0D77B4BB2A3B6D401478
Prov. Sumatera Utara,Kota Medan,Kec. Medan Baru,SDN 060884,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/742C5A05AAFD6D85582E
Prov. Sumatera Utara,Kota Medan,Kec. Medan Baru,SDN 060885,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F4DC6783DDFB421F7A6E
Prov. Sumatera Utara,Kota Medan,Kec. Medan Baru,SDN 060886,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/89103B65056E64BAE44D
Prov. Sumatera Utara,Kota Medan,Kec. Medan Baru,SDN 060889,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AAB7E19BAA5EEA9B9AB6
Prov. Sumatera Utara,Kota Medan,Kec. Medan Baru,SDN 060891,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F882C929ED854D2F22E7
Prov. Sumatera Utara,Kota Medan,Kec. Medan Baru,SDN 060892,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1C09DACC8CAE797E72DF
Prov. Sumatera Utara,Kota Medan,Kec. Medan Baru,SDN 060894,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0C49EC3902634A4CFBD7
Prov. Sumatera Utara,Kota Medan,Kec. Medan Baru,SDN 060895,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/10F4FA79C0DB39CB0400
Prov. Sumatera Utara,Kota Medan,Kec. Medan Baru,SDN PERCOBAAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A1CFD004C8E57D3B66D6
Prov. Sumatera Utara,Kota Medan,Kec. Medan Baru,SD NORTHERN GREEN SCHOOL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/108CADB8910D884B17A8
Prov. Sumatera Utara,Kota Medan,Kec. Medan Baru,SD SWASTA DUTA HARAPAN SCHOOL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/74B15B292C947B5C2DF0
Prov. Sumatera Utara,Kota Medan,Kec. Medan Baru,SD SWASTA NANYANG ZHI HUI ,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EFDB5A8922053A970FA8
Prov. Sumatera Utara,Kota Medan,Kec. Medan Baru,SDS ADVENT 4 ,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C020303374F62A04EF9C
Prov. Sumatera Utara,Kota Medan,Kec. Medan Baru,SDS ALBUKHARI MUSLIM,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1D6F77738F6024CA2E7D
Prov. Sumatera Utara,Kota Medan,Kec. Medan Baru,SDS ALMUTTAQIEN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/38A3A36036797EC71669
Prov. Sumatera Utara,Kota Medan,Kec. Medan Baru,SDS DJUWITA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/29B8C62FE501ACCD7CE0
Prov. Sumatera Utara,Kota Medan,Kec. Medan Baru,SDS HIGH SCOPE INDONESIA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1C4EA45B88FACC28A402
Prov. Sumatera Utara,Kota Medan,Kec. Medan Baru,SDS MUHAMMADIYAH 05,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AFBD29BA6824A5ED26BD
Prov. Sumatera Utara,Kota Medan,Kec. Medan Baru,SDS NASRANI I ,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7D298762B715092D51A9
Prov. Sumatera Utara,Kota Medan,Kec. Medan Baru,SDS PEMBANGUN DIDIKAN ISLAM,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3D11120A80548C36C043
Prov. Sumatera Utara,Kota Medan,Kec. Medan Baru,SDS PERSA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1F84BD77A8196545452A
Prov. Sumatera Utara,Kota Medan,Kec. Medan Baru,SDS SANTO NICHOLAS,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/170EAA8B850CF83BE449
Prov. Sumatera Utara,Kota Medan,Kec. Medan Baru,SDS ST ANTONIUS I,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/67054B6CD6E8105DA288
Prov. Sumatera Utara,Kota Medan,Kec. Medan Baru,SDS ST ANTONIUS II ,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3648CCA929F8DD80DE4A
Prov. Sumatera Utara,Kota Medan,Kec. Medan Baru,SDS ST. THOMAS 5,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7FB0F7A1473A64EC991F
Prov. Sumatera Utara,Kota Medan,Kec. Medan Baru,SD SPK SAMPOERNA ACADEMY,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FD3DE598E73600F6231B
