provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Sumatera Utara,Kota Medan,Kec. Medan Labuhan,SDN 060799,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/85AA549B74E13E5ED47F
Prov. Sumatera Utara,Kota Medan,Kec. Medan Labuhan,SDN 060948,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6D89D63390EA4073164B
Prov. Sumatera Utara,Kota Medan,Kec. Medan Labuhan,SDN 060949,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AC7DA403928AA07CBF00
Prov. Sumatera Utara,Kota Medan,Kec. Medan Labuhan,SDN 060950,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/20B0B68132A1408BFA4C
Prov. Sumatera Utara,Kota Medan,Kec. Medan Labuhan,SDN 060951,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D49A339BEEC455605826
Prov. Sumatera Utara,Kota Medan,Kec. Medan Labuhan,SDN 060952,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/61785AF6EC98849D3A62
Prov. Sumatera Utara,Kota Medan,Kec. Medan Labuhan,SDN 060953,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4CD6BC11F1FA29934585
Prov. Sumatera Utara,Kota Medan,Kec. Medan Labuhan,SDN 060956,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3B4B667314D830C4CBC6
Prov. Sumatera Utara,Kota Medan,Kec. Medan Labuhan,SDN 064005,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8C6A84F1897E4B34183D
Prov. Sumatera Utara,Kota Medan,Kec. Medan Labuhan,SDN 064008,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F7164CE116C14B8ED76D
Prov. Sumatera Utara,Kota Medan,Kec. Medan Labuhan,SDN 064997,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8D4BF12A993E7F4164DC
Prov. Sumatera Utara,Kota Medan,Kec. Medan Labuhan,SDN 065001,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C458B8CEA1627817A4A1
Prov. Sumatera Utara,Kota Medan,Kec. Medan Labuhan,SDN 065002,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/26FD5BE7AD672762396F
Prov. Sumatera Utara,Kota Medan,Kec. Medan Labuhan,SDN 065003,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/370EE4A5A9BA506C0A7C
Prov. Sumatera Utara,Kota Medan,Kec. Medan Labuhan,SDN 066657,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2BAB779B46AADEAB1309
Prov. Sumatera Utara,Kota Medan,Kec. Medan Labuhan,SDN 066660,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2793F4775E100FEA0293
Prov. Sumatera Utara,Kota Medan,Kec. Medan Labuhan,SDN 067265,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C6F2AF79F85F59EDEA55
Prov. Sumatera Utara,Kota Medan,Kec. Medan Labuhan,SDN 067266,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AA6E3B4736BB77F28AFA
Prov. Sumatera Utara,Kota Medan,Kec. Medan Labuhan,SDN 067267,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F5B061BAF2887B011CB4
Prov. Sumatera Utara,Kota Medan,Kec. Medan Labuhan,SDN 067268,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A2C961AC5E0EB0ED617A
Prov. Sumatera Utara,Kota Medan,Kec. Medan Labuhan,SDN 067269,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/29D6984BF04D44BCD791
Prov. Sumatera Utara,Kota Medan,Kec. Medan Labuhan,SDN 067692,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4F25405F420146EB3A9F
Prov. Sumatera Utara,Kota Medan,Kec. Medan Labuhan,SDN 068292,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/99C5AF2138EAED3E88E0
Prov. Sumatera Utara,Kota Medan,Kec. Medan Labuhan,SDN 068426,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/45D5EE481762F1A0B7C8
Prov. Sumatera Utara,Kota Medan,Kec. Medan Labuhan,SDN 068474,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AF1FDAD054BA73377F5F
Prov. Sumatera Utara,Kota Medan,Kec. Medan Labuhan,SDN 068475,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/54CAB70A3FA134918A32
Prov. Sumatera Utara,Kota Medan,Kec. Medan Labuhan,SD ISLAM TERPADU PERMATA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E5AB8512776C833E13B3
Prov. Sumatera Utara,Kota Medan,Kec. Medan Labuhan,SD SWASTA AMALIA PRIMA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1C22518463AD9420E474
Prov. Sumatera Utara,Kota Medan,Kec. Medan Labuhan,SD SWASTA EUNIKE BIDAWANI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/79E5413D7848E3A8ED69
Prov. Sumatera Utara,Kota Medan,Kec. Medan Labuhan,SD Swasta IT NURUL AZMI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EBC407626229B062E5EA
Prov. Sumatera Utara,Kota Medan,Kec. Medan Labuhan,SDS AL WASHLIYAH 30,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/310DFD9CFF026452FB89
Prov. Sumatera Utara,Kota Medan,Kec. Medan Labuhan,SDS AL WASHLIYAH 31 ,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/40EC686AE8F4F8176A14
Prov. Sumatera Utara,Kota Medan,Kec. Medan Labuhan,SDS ALWASHLIYAH 26 ,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7AEBC4FCE595DAFC7970
Prov. Sumatera Utara,Kota Medan,Kec. Medan Labuhan,SDS ALWASHLIYAH 28,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ACBC042E0959936AE684
Prov. Sumatera Utara,Kota Medan,Kec. Medan Labuhan,SDS ALWASHLIYAH 29,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/527ABFAFB17705F250F7
Prov. Sumatera Utara,Kota Medan,Kec. Medan Labuhan,SDS AMANDA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D6D5740D8BA5A8C5E176
Prov. Sumatera Utara,Kota Medan,Kec. Medan Labuhan,SDS DARUSSALAM,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/73C896D0320C544BE933
Prov. Sumatera Utara,Kota Medan,Kec. Medan Labuhan,SDS DR.WAHIDIN SUDIROHUSODO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AD282ECEC4C5E1B0E16C
Prov. Sumatera Utara,Kota Medan,Kec. Medan Labuhan,SDS GENERASI BANGSA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DA0A838CD2122060F5EC
Prov. Sumatera Utara,Kota Medan,Kec. Medan Labuhan,SDS HARVARD,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1FF9C4C266DE8E932F8D
Prov. Sumatera Utara,Kota Medan,Kec. Medan Labuhan,SDS HKBP SEI MATI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A7D3EA74D89BE0FBB8D0
Prov. Sumatera Utara,Kota Medan,Kec. Medan Labuhan,SDS ISLAM DESA BESAR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E8B10D99C362D471D845
Prov. Sumatera Utara,Kota Medan,Kec. Medan Labuhan,SDS ISLAM RABIATUL ADAWIYAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/23144E023607E3B70307
