provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Sumatera Barat,Kota Pariaman,Kec. Pariaman Selatan,SD N 12 TALUK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4AC1D00E4DC20CABE6BF
Prov. Sumatera Barat,Kota Pariaman,Kec. Pariaman Selatan,SD NEGERI 03 TALUK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9196812DB9D932A9F85B
Prov. Sumatera Barat,Kota Pariaman,Kec. Pariaman Selatan,SD NEGERI 06 PUNGGUNG LADING,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/59040AE78D3BD94738ED
Prov. Sumatera Barat,Kota Pariaman,Kec. Pariaman Selatan,SD NEGERI 08 MARUNGGI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C83DDCE349902533787F
Prov. Sumatera Barat,Kota Pariaman,Kec. Pariaman Selatan,SD NEGERI 09 KAMPUNG APA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D12576B3D90A0047FB01
Prov. Sumatera Barat,Kota Pariaman,Kec. Pariaman Selatan,SD NEGERI 11 MARUNGGI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D2D5EEC02EA4AF4BB66C
Prov. Sumatera Barat,Kota Pariaman,Kec. Pariaman Selatan,SD NEGERI 13 BALAI KURAI TAJI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3143B4E116157C28E297
Prov. Sumatera Barat,Kota Pariaman,Kec. Pariaman Selatan,SDN 01 PAUH KURAI TAJI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/35699BC830323ED2917A
Prov. Sumatera Barat,Kota Pariaman,Kec. Pariaman Selatan,SDN 02 MARUNGGI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CDDB52C788DB3B883F3A
Prov. Sumatera Barat,Kota Pariaman,Kec. Pariaman Selatan,SDN 04 BATANG TAJONGKEK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/47B83987C3DA32EBB807
Prov. Sumatera Barat,Kota Pariaman,Kec. Pariaman Selatan,SDN 05 MARABAU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9B83628941CEFE835EB3
Prov. Sumatera Barat,Kota Pariaman,Kec. Pariaman Selatan,SDN 07 TOBOH PALABAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7D7F7C89A0875909E120
Prov. Sumatera Barat,Kota Pariaman,Kec. Pariaman Selatan,SDN 10 PALAK ANEH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4667BFE0FE7B1AD18155
Prov. Sumatera Barat,Kota Pariaman,Kec. Pariaman Selatan,SD IT Unggulan Aisyiyah Pariaman,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1809F09713C1C85F0DEF
