provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Jawa Tengah,Kota Pekalongan,Kec. Pekalongan Selatan,SD Negeri Banyurip Ageng,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9D23DAB56E39CF033139
Prov. Jawa Tengah,Kota Pekalongan,Kec. Pekalongan Selatan,SD Negeri Buaran,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BF0BE0B89DA387657CD9
Prov. Jawa Tengah,Kota Pekalongan,Kec. Pekalongan Selatan,SD Negeri Duwet,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1AD724A8312B67399BF2
Prov. Jawa Tengah,Kota Pekalongan,Kec. Pekalongan Selatan,SD Negeri Jenggot,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4C595CC9F21AE69E9618
Prov. Jawa Tengah,Kota Pekalongan,Kec. Pekalongan Selatan,SD Negeri Kertoharjo 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8C350D95500A82564239
Prov. Jawa Tengah,Kota Pekalongan,Kec. Pekalongan Selatan,SD Negeri Kertoharjo 02,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3A8103E750075AF8C431
Prov. Jawa Tengah,Kota Pekalongan,Kec. Pekalongan Selatan,SD Negeri Kradenan 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/62AE64A220F42C3C0CA2
Prov. Jawa Tengah,Kota Pekalongan,Kec. Pekalongan Selatan,SD Negeri Kradenan 04,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BDA977BDC07FE388AD1B
Prov. Jawa Tengah,Kota Pekalongan,Kec. Pekalongan Selatan,SD Negeri Kuripan Kidul 02,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/63DE9238AD807BD107E4
Prov. Jawa Tengah,Kota Pekalongan,Kec. Pekalongan Selatan,SD Negeri Kuripan Lor 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/944CACA641EDEBCC470B
Prov. Jawa Tengah,Kota Pekalongan,Kec. Pekalongan Selatan,SD Negeri Kuripan Lor 02,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/415CB5517112436C6CBB
Prov. Jawa Tengah,Kota Pekalongan,Kec. Pekalongan Selatan,SD Negeri Soko,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2A6BB06D02D71DC671F8
Prov. Jawa Tengah,Kota Pekalongan,Kec. Pekalongan Selatan,SD Negeri Yosorejo 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E58A4101362EF1087E6C
Prov. Jawa Tengah,Kota Pekalongan,Kec. Pekalongan Selatan,SD Negeri Yosorejo 02,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E15E00DEEF6C0500AFCA
Prov. Jawa Tengah,Kota Pekalongan,Kec. Pekalongan Selatan,SD Islam Al Azhar 60 Pekalongan,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/909DB60C4D65F50447D6
Prov. Jawa Tengah,Kota Pekalongan,Kec. Pekalongan Selatan,SD Islam YPI Buaran,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7B9BAD7101728F33020B
Prov. Jawa Tengah,Kota Pekalongan,Kec. Pekalongan Selatan,SD Muhammadiyah 01 Kuripan Kidul,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3D6247EDC37F293734CF
