provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Kalimantan Barat,Kota Pontianak,Kec. Pontianak Barat,SD NEGERI 04 PONTIANAK BARAT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/37FDFD1F4117949C2F05
Prov. Kalimantan Barat,Kota Pontianak,Kec. Pontianak Barat,SD NEGERI 08 PONTIANAK BARAT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/69595E67A349BEFB12F8
Prov. Kalimantan Barat,Kota Pontianak,Kec. Pontianak Barat,SD NEGERI 09 PONTIANAK BARAT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4F9001A0C9758C8269F8
Prov. Kalimantan Barat,Kota Pontianak,Kec. Pontianak Barat,SD NEGERI 13 PONTIANAK BARAT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8EE983D033DEFDEB7A5B
Prov. Kalimantan Barat,Kota Pontianak,Kec. Pontianak Barat,SD NEGERI 1860 PONTIANAK BARAT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/61F79727944FF7CB597A
Prov. Kalimantan Barat,Kota Pontianak,Kec. Pontianak Barat,SD NEGERI 21 PONTIANAK BARAT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CF519176DDAAE631D369
Prov. Kalimantan Barat,Kota Pontianak,Kec. Pontianak Barat,SD NEGERI 22 PONTIANAK BARAT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/21DC70D05D2DEC81F79B
Prov. Kalimantan Barat,Kota Pontianak,Kec. Pontianak Barat,SD NEGERI 23 PONTIANAK BARAT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9A3FB510A74D8041DAB7
Prov. Kalimantan Barat,Kota Pontianak,Kec. Pontianak Barat,SD NEGERI 31 PONTIANAK BARAT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7A30102A7D5F671BAD09
Prov. Kalimantan Barat,Kota Pontianak,Kec. Pontianak Barat,SD NEGERI 33 PONTIANAK BARAT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5851CEC9D2F8DD24C33E
Prov. Kalimantan Barat,Kota Pontianak,Kec. Pontianak Barat,SD NEGERI 44 PONTIANAK BARAT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4544F058C5E02B35361F
Prov. Kalimantan Barat,Kota Pontianak,Kec. Pontianak Barat,SD NEGERI 50 PONTIANAK BARAT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E7A980A59129E15D6A49
Prov. Kalimantan Barat,Kota Pontianak,Kec. Pontianak Barat,SD NEGERI 54 PONTIANAK BARAT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/681B9E4DDC2583C66B4E
Prov. Kalimantan Barat,Kota Pontianak,Kec. Pontianak Barat,SD NEGERI 55 PONTIANAK BARAT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6BBCAD7E89ECD99A6147
Prov. Kalimantan Barat,Kota Pontianak,Kec. Pontianak Barat,SD NEGERI 56 PONTIANAK BARAT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C3070915DF6B8F1EE7B8
Prov. Kalimantan Barat,Kota Pontianak,Kec. Pontianak Barat,SD NEGERI 68 PONTIANAK BARAT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/46E03E7ECE973578831A
Prov. Kalimantan Barat,Kota Pontianak,Kec. Pontianak Barat,SD NEGERI 71 PONTIANAK BARAT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2C25509CA13BAFE9BD11
Prov. Kalimantan Barat,Kota Pontianak,Kec. Pontianak Barat,SD NEGERI 72 PONTIANAK BARAT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0F9E1B90A9A146C095D2
Prov. Kalimantan Barat,Kota Pontianak,Kec. Pontianak Barat,SD NEGERI 73 PONTIANAK BARAT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ACE7F37438480EFB880E
Prov. Kalimantan Barat,Kota Pontianak,Kec. Pontianak Barat,SD NEGERI 74 PONTIANAK BARAT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0B3D477E287315143DC9
Prov. Kalimantan Barat,Kota Pontianak,Kec. Pontianak Barat,SD ISLAM SIRAJUN JADID,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/868E3C50D6ED532B7876
Prov. Kalimantan Barat,Kota Pontianak,Kec. Pontianak Barat,SD IT DARUL IHSAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ADBF3717036551B67CC6
Prov. Kalimantan Barat,Kota Pontianak,Kec. Pontianak Barat,SD PELITA HARAPAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C1DB653F07F4B133B1D3
Prov. Kalimantan Barat,Kota Pontianak,Kec. Pontianak Barat,SDS Pesantren Assalam,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/78045E7D2840F37B92A6
