provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Jawa Tengah,Kota Semarang,Kec. Tembalang,SD NEGERI BULUSAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9B7716633E8BC4178C67
Prov. Jawa Tengah,Kota Semarang,Kec. Tembalang,SD NEGERI KEDUNGMUNDU ,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/77DE70713F72BCA10587
Prov. Jawa Tengah,Kota Semarang,Kec. Tembalang,SD NEGERI KRAMAS ,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/20409F9E7A16B0BDD73E
Prov. Jawa Tengah,Kota Semarang,Kec. Tembalang,SD NEGERI MANGUNHARJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/803D24252B8040A0D086
Prov. Jawa Tengah,Kota Semarang,Kec. Tembalang,SD NEGERI METESEH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FFA57355551098F11ADB
Prov. Jawa Tengah,Kota Semarang,Kec. Tembalang,SD NEGERI ROWOSARI 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C3CDD72F3C49F3C5CF92
Prov. Jawa Tengah,Kota Semarang,Kec. Tembalang,SD NEGERI ROWOSARI 02,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/622EE5B526971AB0C631
Prov. Jawa Tengah,Kota Semarang,Kec. Tembalang,SD NEGERI SAMBIROTO 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D25293567AB04EA58C40
Prov. Jawa Tengah,Kota Semarang,Kec. Tembalang,SD NEGERI SAMBIROTO 02,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E19FAAE64E4DA22D0363
Prov. Jawa Tengah,Kota Semarang,Kec. Tembalang,SD NEGERI SAMBIROTO 03,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/629188802499E668B6DC
Prov. Jawa Tengah,Kota Semarang,Kec. Tembalang,SD NEGERI SENDANG MULYO 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CA9329E50936DDED751E
Prov. Jawa Tengah,Kota Semarang,Kec. Tembalang,SD NEGERI SENDANG MULYO 03,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/93E30293E563D64280AD
Prov. Jawa Tengah,Kota Semarang,Kec. Tembalang,SD NEGERI SENDANGGUWO 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CCB9AD11CFF58D4BD406
Prov. Jawa Tengah,Kota Semarang,Kec. Tembalang,SD NEGERI SENDANGGUWO 02,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/734E00EBD5B299773C55
Prov. Jawa Tengah,Kota Semarang,Kec. Tembalang,SD NEGERI SENDANGMULYO 02,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D0669BC9A9D8FB627DD3
Prov. Jawa Tengah,Kota Semarang,Kec. Tembalang,SD NEGERI SENDANGMULYO 04,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FC2670ABB0EB3B84F35B
Prov. Jawa Tengah,Kota Semarang,Kec. Tembalang,SD NEGERI TANDANG 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4829325BDF7BA4898488
Prov. Jawa Tengah,Kota Semarang,Kec. Tembalang,SD NEGERI TANDANG 02,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0E2D0BCB23072B569A78
Prov. Jawa Tengah,Kota Semarang,Kec. Tembalang,SD NEGERI TANDANG 03,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/18B01F4F1287F929057E
Prov. Jawa Tengah,Kota Semarang,Kec. Tembalang,SD NEGERI TANDANG 04,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3CE401E5229D69AFE0AC
