provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Sumatera Barat,Kota Solok,Kec. Tanjung Harapan,SD NEGERI 01 TANJUNG PAKU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C2ED560BCB18A2100606
Prov. Sumatera Barat,Kota Solok,Kec. Tanjung Harapan,SD NEGERI 02 PPA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C0F24582CF964579F871
Prov. Sumatera Barat,Kota Solok,Kec. Tanjung Harapan,SD NEGERI 03 KAMPUNG JAWA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B7B4E5504ACBD80BFDAB
Prov. Sumatera Barat,Kota Solok,Kec. Tanjung Harapan,SD NEGERI 04 PPA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/669AE44083902C714FDA
Prov. Sumatera Barat,Kota Solok,Kec. Tanjung Harapan,SD NEGERI 05 KAMPUNG JAWA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/84D4AD5CB169CA22193B
Prov. Sumatera Barat,Kota Solok,Kec. Tanjung Harapan,SD NEGERI 06 TANJUNG PAKU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/86BA28CD00A452957B50
Prov. Sumatera Barat,Kota Solok,Kec. Tanjung Harapan,SD NEGERI 07 KAMPUNG JAWA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D1E6A5513366B18297DA
Prov. Sumatera Barat,Kota Solok,Kec. Tanjung Harapan,SD NEGERI 10 NAN BALIMO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/76E204063F8E15A1043D
Prov. Sumatera Barat,Kota Solok,Kec. Tanjung Harapan,SD NEGERI 11 KAMPUNG JAWA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E705C27B2D872CCAB283
Prov. Sumatera Barat,Kota Solok,Kec. Tanjung Harapan,SD NEGERI 12 TANJUNG PAKU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/12FC2303D73FC9D506A4
Prov. Sumatera Barat,Kota Solok,Kec. Tanjung Harapan,SD NEGERI 13 KAMPUNG JAWA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4F3E5B337D1AE2A412F4
Prov. Sumatera Barat,Kota Solok,Kec. Tanjung Harapan,SD NEGERI 14 LAIANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3DF37849BED7CFB98957
Prov. Sumatera Barat,Kota Solok,Kec. Tanjung Harapan,SD NEGERI 15 KOTO PANJANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A98A6D761CCC760F6DE5
Prov. Sumatera Barat,Kota Solok,Kec. Tanjung Harapan,SD NEGERI 16 NAN BALIMO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B59BD9D51276AD73AE6D
Prov. Sumatera Barat,Kota Solok,Kec. Tanjung Harapan,SD NEGERI 17 LAING,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7EFB73DA9BE5A00469A4
Prov. Sumatera Barat,Kota Solok,Kec. Tanjung Harapan,SD NEGERI 18 TANJUNG PAKU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/818C6F30DAD2CC8C3FAE
Prov. Sumatera Barat,Kota Solok,Kec. Tanjung Harapan,SD NEGERI 19 KAMPUNG JAWA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1E245ABE2EF8E81F552D
Prov. Sumatera Barat,Kota Solok,Kec. Tanjung Harapan,SD NEGERI 21 PPA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/322A5C51F4161038DE63
Prov. Sumatera Barat,Kota Solok,Kec. Tanjung Harapan,SD NEGERI 22 NAN BALIMO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D23E7A46D293A1D3CA44
Prov. Sumatera Barat,Kota Solok,Kec. Tanjung Harapan,SD NEGERI 9 PPA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/21BEB6ADBBBAF01AEAAD
Prov. Sumatera Barat,Kota Solok,Kec. Tanjung Harapan,SD MUHAMMADIYAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/88A8891BE0C8AF93E2F9
Prov. Sumatera Barat,Kota Solok,Kec. Tanjung Harapan,SDIT AL-FITYAH SCHOOL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/059DDB281179F9B14CBD
Prov. Sumatera Barat,Kota Solok,Kec. Tanjung Harapan,SDIT UQ,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F8DAE232285D7164DBEE
