provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Jawa Barat,Kota Sukabumi,Kec. Gunung Puyuh,SD NEGERI BABAKAN KARAMAT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FB9C6B4DBA3943994777
Prov. Jawa Barat,Kota Sukabumi,Kec. Gunung Puyuh,SD NEGERI BRAWIJAYA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D058CA14311AA722C1F7
Prov. Jawa Barat,Kota Sukabumi,Kec. Gunung Puyuh,SD NEGERI CIPELANGGEDE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7EF055D1737FB849C36A
Prov. Jawa Barat,Kota Sukabumi,Kec. Gunung Puyuh,SD NEGERI CISEUREUH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5DD9A949F378B8C260D9
Prov. Jawa Barat,Kota Sukabumi,Kec. Gunung Puyuh,SD NEGERI GUNUNGPUYUH CIPTA BINA MANDIRI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D439B4CD8AB4DB42D5D0
Prov. Jawa Barat,Kota Sukabumi,Kec. Gunung Puyuh,SD NEGERI KARAMAT RANDU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C12A11F11C2C111E01FA
Prov. Jawa Barat,Kota Sukabumi,Kec. Gunung Puyuh,SD NEGERI KARANG TENGAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0B42378F2D1C3BB26109
Prov. Jawa Barat,Kota Sukabumi,Kec. Gunung Puyuh,SD NEGERI KOPENG I,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0FA89558E85A8760F8CC
Prov. Jawa Barat,Kota Sukabumi,Kec. Gunung Puyuh,SD NEGERI KOPENG II,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FEEBC881B78EC931EFA1
Prov. Jawa Barat,Kota Sukabumi,Kec. Gunung Puyuh,SD NEGERI KOTAPARIS,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D9EF3AE0A7B24B78D3A6
Prov. Jawa Barat,Kota Sukabumi,Kec. Gunung Puyuh,SD NEGERI LEMBURSITU II,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/10F71F1E49EA302BA59E
Prov. Jawa Barat,Kota Sukabumi,Kec. Gunung Puyuh,SD NEGERI RAWASALAK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EA30F382FAFE7F3890D2
Prov. Jawa Barat,Kota Sukabumi,Kec. Gunung Puyuh,SD NEGERI SKIP,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/391E1ECD9CAB1B65ACCB
Prov. Jawa Barat,Kota Sukabumi,Kec. Gunung Puyuh,SD NEGERI SRIWIDARI 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/82C243BBF5F8928ED01E
Prov. Jawa Barat,Kota Sukabumi,Kec. Gunung Puyuh,SD NEGERI SRIWIDARI II,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/079EECA286A0F6A0207A
Prov. Jawa Barat,Kota Sukabumi,Kec. Gunung Puyuh,SD NEGERI TANJUNG SARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F26E137CBB0E5600CD5C
Prov. Jawa Barat,Kota Sukabumi,Kec. Gunung Puyuh,SD NEGERI TEGALPARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/12E29DEB0274EAA6AC8E
Prov. Jawa Barat,Kota Sukabumi,Kec. Gunung Puyuh,SD ISLAM TAHFIDZ QUR AN AL FAJR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3E593BCEECBC2D16074B
Prov. Jawa Barat,Kota Sukabumi,Kec. Gunung Puyuh,SD ISLAM TERPADU ANDALUSIA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/40C8932B7719B2E64B70
Prov. Jawa Barat,Kota Sukabumi,Kec. Gunung Puyuh,SD ISLAM TERPADU INSANI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6BA3A5948454E974E740
Prov. Jawa Barat,Kota Sukabumi,Kec. Gunung Puyuh,SD ISLAM TERPADU QUR AN AT TARTIL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EF7E3958FD2747855928
