provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Jawa Timur,Kota Surabaya,Kec. Wonokromo,SD NEGERI JAGIR I393,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/01EBEF0263788C8EB1EB
Prov. Jawa Timur,Kota Surabaya,Kec. Wonokromo,SD NEGERI NGAGEL I / 394,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4EAE9DF07D2558CD44BA
Prov. Jawa Timur,Kota Surabaya,Kec. Wonokromo,SD NEGERI NGAGELREJO I396,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7DC4A76801D595E6E449
Prov. Jawa Timur,Kota Surabaya,Kec. Wonokromo,SD NEGERI NGAGELREJO III398,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D4FC270617414072CDCC
Prov. Jawa Timur,Kota Surabaya,Kec. Wonokromo,SD NEGERI NGAGELREJO V400 SURABAYA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0383DFA068D1A8B4B75F
Prov. Jawa Timur,Kota Surabaya,Kec. Wonokromo,SD NEGERI NGAGELREJO VII402,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/338886E2B6D2C945CFB0
Prov. Jawa Timur,Kota Surabaya,Kec. Wonokromo,SD NEGERI SAWUNGGALING I 382,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EA7C313BCDEE13AC1A76
Prov. Jawa Timur,Kota Surabaya,Kec. Wonokromo,SD NEGERI SAWUNGGALING VII388,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/036399B3BE884698D523
Prov. Jawa Timur,Kota Surabaya,Kec. Wonokromo,SD NEGERI SAWUNGGALING VIII389,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FC724B2109892707EAFE
Prov. Jawa Timur,Kota Surabaya,Kec. Wonokromo,SD NEGERI WONOKROMO I390,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/09B7D0A8DDA6189565B2
Prov. Jawa Timur,Kota Surabaya,Kec. Wonokromo,SD NEGERI WONOKROMO III392,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B4AA39CD1EDAB9A96C92
Prov. Jawa Timur,Kota Surabaya,Kec. Wonokromo,SD AISYAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9D854F237A9942CAC98B
Prov. Jawa Timur,Kota Surabaya,Kec. Wonokromo,SD AL FALAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/32F521D9809FCFE0EA96
Prov. Jawa Timur,Kota Surabaya,Kec. Wonokromo,SD AL FURQAAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/94EF1E5D17E12CA169D9
Prov. Jawa Timur,Kota Surabaya,Kec. Wonokromo,SD BINA PUTRA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A739055EF57F1B170BBD
Prov. Jawa Timur,Kota Surabaya,Kec. Wonokromo,SD BUDI DHARMA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E1D62C63BB188E2C289C
Prov. Jawa Timur,Kota Surabaya,Kec. Wonokromo,SD DAWATUL HASANAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5830370013B314E38FD8
Prov. Jawa Timur,Kota Surabaya,Kec. Wonokromo,SD DEWI SARTIKA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6AED8073EA5B9103399C
Prov. Jawa Timur,Kota Surabaya,Kec. Wonokromo,SD HANG TUAH I,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3DD74F75092A19E16841
Prov. Jawa Timur,Kota Surabaya,Kec. Wonokromo,SD HASYIM ASYARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9905C23F8D76882BC82A
Prov. Jawa Timur,Kota Surabaya,Kec. Wonokromo,SD HIDAYATUL MUSTAQIM,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C504C8798CCEB1C171A9
Prov. Jawa Timur,Kota Surabaya,Kec. Wonokromo,SD ISTIQBAL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/066672DD956CB7F34CFE
Prov. Jawa Timur,Kota Surabaya,Kec. Wonokromo,SD KHADIJAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/53502FE7583E808D9339
Prov. Jawa Timur,Kota Surabaya,Kec. Wonokromo,SD MUHAMMADIYAH 24,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/18F222239028B5558AF9
Prov. Jawa Timur,Kota Surabaya,Kec. Wonokromo,SD MUHAMMADIYAH 6 GADUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FA746A49E4B4B1A32524
Prov. Jawa Timur,Kota Surabaya,Kec. Wonokromo,SD MUHAMMADIYAH 7,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/09F6DD9A46C3A724EB6C
Prov. Jawa Timur,Kota Surabaya,Kec. Wonokromo,SD PAKIS GELORA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6BC5538AEDE6457BEA71
Prov. Jawa Timur,Kota Surabaya,Kec. Wonokromo,SD PROKLAMASI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B721B17FC3DE0D188118
Prov. Jawa Timur,Kota Surabaya,Kec. Wonokromo,SD PUTRA WIJAYA I,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5E10D2E2992D1A315EAD
Prov. Jawa Timur,Kota Surabaya,Kec. Wonokromo,SD PUTRA WIJAYA IV,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A8803FFCFBA4FA01E4F8
Prov. Jawa Timur,Kota Surabaya,Kec. Wonokromo,SD R.A. KARTINI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9CB0230B2082B3F195B6
Prov. Jawa Timur,Kota Surabaya,Kec. Wonokromo,SD SANTO YOSEF,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7B17999D3E44BCDCD30E
Prov. Jawa Timur,Kota Surabaya,Kec. Wonokromo,SD TUNAS BANGSA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DC4A820BEDA60F6292A1
Prov. Jawa Timur,Kota Surabaya,Kec. Wonokromo,SDS KRISTEN AGAPE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0E1BAF23E997652B6248
