provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Sumatera Utara,Kota Tanjung Balai,Kec. Tanjung Balai Selatan,SD NEGERI 132402,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8D8C5949C331E0BF92D4
Prov. Sumatera Utara,Kota Tanjung Balai,Kec. Tanjung Balai Selatan,SD NEGERI 132403,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E0B8D63719B22436C48C
Prov. Sumatera Utara,Kota Tanjung Balai,Kec. Tanjung Balai Selatan,SD NEGERI 132404,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9B8CE8CE73722A4ED7F7
Prov. Sumatera Utara,Kota Tanjung Balai,Kec. Tanjung Balai Selatan,SD NEGERI 132405,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FDA7C29CBEC0602938AB
Prov. Sumatera Utara,Kota Tanjung Balai,Kec. Tanjung Balai Selatan,SD NEGERI 132406,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F3664D97767621771BBF
Prov. Sumatera Utara,Kota Tanjung Balai,Kec. Tanjung Balai Selatan,SD NEGERI 132407,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E2B544BED78CF87E99DA
Prov. Sumatera Utara,Kota Tanjung Balai,Kec. Tanjung Balai Selatan,SD NEGERI 132408,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D53B6B639E23314AC3CE
Prov. Sumatera Utara,Kota Tanjung Balai,Kec. Tanjung Balai Selatan,SD NEGERI 132409,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EF415B7D54BD47D6A341
Prov. Sumatera Utara,Kota Tanjung Balai,Kec. Tanjung Balai Selatan,SD NEGERI 132411,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6CA23759628A67E1F1D0
Prov. Sumatera Utara,Kota Tanjung Balai,Kec. Tanjung Balai Selatan,SD NEGERI 132412,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/234FF1FAAD12717CD6F3
Prov. Sumatera Utara,Kota Tanjung Balai,Kec. Tanjung Balai Selatan,SD NEGERI 132413,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/592CF22A7CCA06975410
Prov. Sumatera Utara,Kota Tanjung Balai,Kec. Tanjung Balai Selatan,SD NEGERI 134409,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9494F84DA242388CFDE2
Prov. Sumatera Utara,Kota Tanjung Balai,Kec. Tanjung Balai Selatan,SD NEGERI 134410,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C89F39142D61C597F2AA
Prov. Sumatera Utara,Kota Tanjung Balai,Kec. Tanjung Balai Selatan,SD NEGERI 134411,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/39D983000340EC1A154F
Prov. Sumatera Utara,Kota Tanjung Balai,Kec. Tanjung Balai Selatan,SD NEGERI 134412,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C70EE3C255A0E2BCD8CA
Prov. Sumatera Utara,Kota Tanjung Balai,Kec. Tanjung Balai Selatan,SD NEGERI 134416,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E35C47D36EE17A5FA2BF
Prov. Sumatera Utara,Kota Tanjung Balai,Kec. Tanjung Balai Selatan,SD NEGERI 134417,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C75B6F27F8D3427BCFB7
Prov. Sumatera Utara,Kota Tanjung Balai,Kec. Tanjung Balai Selatan,SD NEGERI 137101,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C9C9383737740A1898AC
Prov. Sumatera Utara,Kota Tanjung Balai,Kec. Tanjung Balai Selatan,SD NEGERI 137524,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E019C62A9ED5C9AB59A9
Prov. Sumatera Utara,Kota Tanjung Balai,Kec. Tanjung Balai Selatan,SD NEGERI 137698,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A4061416BAC95FD7D9AF
Prov. Sumatera Utara,Kota Tanjung Balai,Kec. Tanjung Balai Selatan,SD HARAPAN MUHAMMADIYAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/227F91E61DB69F3E40A8
Prov. Sumatera Utara,Kota Tanjung Balai,Kec. Tanjung Balai Selatan,SD SWASTA METHODIST 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/613C8E845E1BAA05C992
Prov. Sumatera Utara,Kota Tanjung Balai,Kec. Tanjung Balai Selatan,SDMETHODIST II,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D582D19DE69417D4822F
Prov. Sumatera Utara,Kota Tanjung Balai,Kec. Tanjung Balai Selatan,SDROM KATHOLIK I,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F2F3CC131FB28085D339
Prov. Sumatera Utara,Kota Tanjung Balai,Kec. Tanjung Balai Selatan,SDSISINGAMANGARAJA 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/35D5164BB0EE4E8EAE01
