provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Jawa Tengah,Kota Tegal,Kec. Tegal Barat,SD NEGERI DEBONG LOR TEGAL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0B12ABF225B1AEC061E0
Prov. Jawa Tengah,Kota Tegal,Kec. Tegal Barat,SD NEGERI KEMANDUNGAN 1 TEGAL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9F6559FBB3EF2BDCAC7F
Prov. Jawa Tengah,Kota Tegal,Kec. Tegal Barat,SD NEGERI KEMANDUNGAN 3 TEGAL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F5D9680DD68C0560B5BA
Prov. Jawa Tengah,Kota Tegal,Kec. Tegal Barat,SD NEGERI KRATON 05,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3AD36286D193BB512246
Prov. Jawa Tengah,Kota Tegal,Kec. Tegal Barat,SD NEGERI KRATON 1 TEGAL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D57936F3208970B8EA0B
Prov. Jawa Tengah,Kota Tegal,Kec. Tegal Barat,SD NEGERI KRATON 2 TEGAL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E466D619EB53881ED634
Prov. Jawa Tengah,Kota Tegal,Kec. Tegal Barat,SD NEGERI KRATON 3 TEGAL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8A1F95DBA410C3022899
Prov. Jawa Tengah,Kota Tegal,Kec. Tegal Barat,SD NEGERI KRATON 6 TEGAL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/593D2AAA754BC98AD37F
Prov. Jawa Tengah,Kota Tegal,Kec. Tegal Barat,SD NEGERI MUARAREJA 1 TEGAL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/496F8D34229D94A0A5C1
Prov. Jawa Tengah,Kota Tegal,Kec. Tegal Barat,SD NEGERI MUARAREJA 2 TEGAL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/39BFF45F46823307A8E2
Prov. Jawa Tengah,Kota Tegal,Kec. Tegal Barat,SD NEGERI PEKAUMAN 1 TEGAL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8447F5A3E8A3AF933332
Prov. Jawa Tengah,Kota Tegal,Kec. Tegal Barat,SD NEGERI PEKAUMAN 2 TEGAL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/84E3EB32203A24AD321B
Prov. Jawa Tengah,Kota Tegal,Kec. Tegal Barat,SD NEGERI PEKAUMAN 3 TEGAL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9995B6AF1BB244FFD333
Prov. Jawa Tengah,Kota Tegal,Kec. Tegal Barat,SD NEGERI PEKAUMAN 5,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3876E8228D2DF6FA2392
Prov. Jawa Tengah,Kota Tegal,Kec. Tegal Barat,SD NEGERI PEKAUMAN 7 TEGAL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2D28C0C44D07A9BC4A8D
Prov. Jawa Tengah,Kota Tegal,Kec. Tegal Barat,SD NEGERI PESURUNGAN KIDUL 1 TEGAL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7783697C716C228EF35E
Prov. Jawa Tengah,Kota Tegal,Kec. Tegal Barat,SD NEGERI PESURUNGAN KIDUL 2 TEGAL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/13739FF0360DA7532DEA
Prov. Jawa Tengah,Kota Tegal,Kec. Tegal Barat,SD NEGERI TEGALSARI 1 TEGAL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5D8C403A9CEE39208570
Prov. Jawa Tengah,Kota Tegal,Kec. Tegal Barat,SD NEGERI TEGALSARI 10 TEGAL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/37698CFEBCD2EC50269C
Prov. Jawa Tengah,Kota Tegal,Kec. Tegal Barat,SD NEGERI TEGALSARI 11 TEGAL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AA950599C8E13E8A93AB
Prov. Jawa Tengah,Kota Tegal,Kec. Tegal Barat,SD NEGERI TEGALSARI 12 TEGAL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DCE85BA4DBFB117113E7
Prov. Jawa Tengah,Kota Tegal,Kec. Tegal Barat,SD NEGERI TEGALSARI 13 TEGAL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A59A92860179907BFC63
Prov. Jawa Tengah,Kota Tegal,Kec. Tegal Barat,SD NEGERI TEGALSARI 3 TEGAL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/71671049D1F536C9FCEB
Prov. Jawa Tengah,Kota Tegal,Kec. Tegal Barat,SD NEGERI TEGALSARI 4,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F769BB613112639387E3
Prov. Jawa Tengah,Kota Tegal,Kec. Tegal Barat,SD NEGERI TEGALSARI 5 TEGAL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DC2EBC77C2970AAFFEDA
Prov. Jawa Tengah,Kota Tegal,Kec. Tegal Barat,SD NEGERI TEGALSARI 6 TEGAL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0FF054CE8C70A6BA0D32
Prov. Jawa Tengah,Kota Tegal,Kec. Tegal Barat,SD NEGERI TEGALSARI 8 TEGAL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/12503652FFE6D6B537DA
Prov. Jawa Tengah,Kota Tegal,Kec. Tegal Barat,SEKOLAH DASAR NEGERI TEGALSARI 2 TEGAL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E6D3D36311ACE9E1971E
Prov. Jawa Tengah,Kota Tegal,Kec. Tegal Barat,SD AL-IRSYAD KOTA TEGAL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2AFCDFDF9F01FDB8AE01
Prov. Jawa Tengah,Kota Tegal,Kec. Tegal Barat,SD IHSANIYAH GAJAHMADA TEGAL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F685A74577713809E697
Prov. Jawa Tengah,Kota Tegal,Kec. Tegal Barat,SD MA ARIF,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/613F397D3F076B2FCECD
Prov. Jawa Tengah,Kota Tegal,Kec. Tegal Barat,SD MA MUR NI MAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/80A8BC3C345AF03388FC
Prov. Jawa Tengah,Kota Tegal,Kec. Tegal Barat,SD PELITA HARAPAN BANGSA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C83C3B2F56399033C469
Prov. Jawa Tengah,Kota Tegal,Kec. Tegal Barat,SD PUI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0A330E68F49033AC0EBE
Prov. Jawa Tengah,Kota Tegal,Kec. Tegal Barat,SD PUTRA WACANA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DFA8EEB301FD4E55F024
