provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Maluku Utara,Kota Ternate,Kec. Ternate Selatan,SD NEGERI 20 KOTA TERNATE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D8CA05DF06EA3BBAD1E1
Prov. Maluku Utara,Kota Ternate,Kec. Ternate Selatan,SD NEGERI 21 KOTA TERNATE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/967C1121A8246138FF31
Prov. Maluku Utara,Kota Ternate,Kec. Ternate Selatan,SD NEGERI 22 KOTA TERNATE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/820002A6FBAC6E1BCCF8
Prov. Maluku Utara,Kota Ternate,Kec. Ternate Selatan,SD NEGERI 23 KOTA TERNATE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D97ED92D1B26B0F10642
Prov. Maluku Utara,Kota Ternate,Kec. Ternate Selatan,SD NEGERI 24 KOTA TERNATE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5DA4E743415CFFF4C1EB
Prov. Maluku Utara,Kota Ternate,Kec. Ternate Selatan,SD NEGERI 25 KOTA TERNATE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8300BAB47029A2932F4D
Prov. Maluku Utara,Kota Ternate,Kec. Ternate Selatan,SD NEGERI 26 KOTA TERNATE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/03F718C0DAD803A48D15
Prov. Maluku Utara,Kota Ternate,Kec. Ternate Selatan,SD NEGERI 27 KOTA TERNATE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E34E1E473BADE8E5876C
Prov. Maluku Utara,Kota Ternate,Kec. Ternate Selatan,SD NEGERI 28 KOTA TERNATE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DFAFB0F2BA0AB75B09BE
Prov. Maluku Utara,Kota Ternate,Kec. Ternate Selatan,SD NEGERI 29 KOTA TERNATE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/18C45082F63217314C17
Prov. Maluku Utara,Kota Ternate,Kec. Ternate Selatan,SD NEGERI 30 KOTA TERNATE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6492CB561FA3DD55101F
Prov. Maluku Utara,Kota Ternate,Kec. Ternate Selatan,SD NEGERI 31 KOTA TERNATE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8C138256DD8D2B78DF20
Prov. Maluku Utara,Kota Ternate,Kec. Ternate Selatan,SD NEGERI 32 KOTA TERNATE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/00FB8AFCC10121FDFB41
Prov. Maluku Utara,Kota Ternate,Kec. Ternate Selatan,SD NEGERI 33 KOTA TERNATE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C76171CE25BE3F46D183
Prov. Maluku Utara,Kota Ternate,Kec. Ternate Selatan,SD NEGERI 34 KOTA TERNATE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C592B5A7034933D15D3A
Prov. Maluku Utara,Kota Ternate,Kec. Ternate Selatan,SD NEGERI 35 KOTA TERNATE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CA94DA32DEA970458885
Prov. Maluku Utara,Kota Ternate,Kec. Ternate Selatan,SD NEGERI 36 KOTA TERNATE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/752541C12B1F117EE98B
Prov. Maluku Utara,Kota Ternate,Kec. Ternate Selatan,SD NEGERI 37 KOTA TERNATE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DAFB028F1105550968A1
Prov. Maluku Utara,Kota Ternate,Kec. Ternate Selatan,SD AL IRSYAD,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C506DE70240F438C48CB
Prov. Maluku Utara,Kota Ternate,Kec. Ternate Selatan,SD AL KHAIRAAT 02 KALUMATA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/16F0835ACC94637ACDC2
Prov. Maluku Utara,Kota Ternate,Kec. Ternate Selatan,SD Islam Sahabat Cendikia Kota Ternate,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AA11ABF29A5776F67A9E
Prov. Maluku Utara,Kota Ternate,Kec. Ternate Selatan,SD ISLAM TERPADU AL BINA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9B566EDC081E97A775DB
Prov. Maluku Utara,Kota Ternate,Kec. Ternate Selatan,SD ISLAM TERPADU VELLYA KOTA TERNATE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/07959A17D73F100FD730
Prov. Maluku Utara,Kota Ternate,Kec. Ternate Selatan,SD ISLAMIYAH 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/27B8655080559292FACD
Prov. Maluku Utara,Kota Ternate,Kec. Ternate Selatan,SD ISLAMIYAH 5,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4488D2DF6895798FB059
Prov. Maluku Utara,Kota Ternate,Kec. Ternate Selatan,SD MUHAMMADIYAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8E7A32E23299131EE068
Prov. Maluku Utara,Kota Ternate,Kec. Ternate Selatan,SD RUNYS SCHOOL KOTA TERNATE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BF3BE5B0E9D3BCBC0E8B
Prov. Maluku Utara,Kota Ternate,Kec. Ternate Selatan,SDS IT NURUL HASAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B8373623856EDE7DD5D3
