provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Maluku Utara,Kota Tidore Kepulauan,Kec. Oba Utara,SD NEGERI 1 BUKIT DURIAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5163D00889467C20C582
Prov. Maluku Utara,Kota Tidore Kepulauan,Kec. Oba Utara,SD NEGERI 1 GURAPING,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FA013673E9910F4CA08E
Prov. Maluku Utara,Kota Tidore Kepulauan,Kec. Oba Utara,SD NEGERI 2 BUKIT DURIAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/35F4CF5C3338516CEDEC
Prov. Maluku Utara,Kota Tidore Kepulauan,Kec. Oba Utara,SD NEGERI 2 GURAPING,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F6709040BD3AD96343ED
Prov. Maluku Utara,Kota Tidore Kepulauan,Kec. Oba Utara,SD NEGERI 3 GURAPING,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C921082734EF8A0C1E89
Prov. Maluku Utara,Kota Tidore Kepulauan,Kec. Oba Utara,SD NEGERI 4 GURAPING,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AC021A38E34F34CA45D9
Prov. Maluku Utara,Kota Tidore Kepulauan,Kec. Oba Utara,SD NEGERI AKEKOLANO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/56FE204530474AA5E25C
Prov. Maluku Utara,Kota Tidore Kepulauan,Kec. Oba Utara,SD NEGERI AMPERA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EE374FC8D2C0A062B4C8
Prov. Maluku Utara,Kota Tidore Kepulauan,Kec. Oba Utara,SD NEGERI BALBAR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D3788441111902B537D0
Prov. Maluku Utara,Kota Tidore Kepulauan,Kec. Oba Utara,SD NEGERI GALALA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/18C06D7BA5F0E81A00FC
Prov. Maluku Utara,Kota Tidore Kepulauan,Kec. Oba Utara,SD NEGERI GAROJOU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5A52956CE28AEA7544B2
Prov. Maluku Utara,Kota Tidore Kepulauan,Kec. Oba Utara,SD NEGERI KAIYASA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FF74287F7542C1540211
Prov. Maluku Utara,Kota Tidore Kepulauan,Kec. Oba Utara,SD NEGERI KUSU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/70CFF6BF480B3CE048B4
Prov. Maluku Utara,Kota Tidore Kepulauan,Kec. Oba Utara,SD NEGERI OBA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/072F6F927D20FE3583F4
Prov. Maluku Utara,Kota Tidore Kepulauan,Kec. Oba Utara,SD NEGERI SOFIFI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DE8E2E0C94A030E0D2B3
Prov. Maluku Utara,Kota Tidore Kepulauan,Kec. Oba Utara,SD NEGERI SOMAHODE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/76348179C44A28D6410E
