provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Sulawesi Utara,Kota Tomohon,Kec. Tomohon Selatan,SD INPRES 482 WALIAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/697324BDD91D8E82A42F
Prov. Sulawesi Utara,Kota Tomohon,Kec. Tomohon Selatan,SD INPRES LAHENDONG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6AF1120BB02EF41CDFBD
Prov. Sulawesi Utara,Kota Tomohon,Kec. Tomohon Selatan,SD INPRES LANSOT TOMOHON TENGAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7BF8C027F4E620F26FE1
Prov. Sulawesi Utara,Kota Tomohon,Kec. Tomohon Selatan,SD INPRES PERUMNAS ULUINDANO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DFA6D79E0FCC6C9BD6D2
Prov. Sulawesi Utara,Kota Tomohon,Kec. Tomohon Selatan,SD INPRES PINARAS,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5149914E0D473FF7E7C5
Prov. Sulawesi Utara,Kota Tomohon,Kec. Tomohon Selatan,SD INPRES TUMATANGTANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CFF880C18C2EE964EDCC
Prov. Sulawesi Utara,Kota Tomohon,Kec. Tomohon Selatan,SD NEGERI LAHENDONG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/758D2440687B05EB09F8
Prov. Sulawesi Utara,Kota Tomohon,Kec. Tomohon Selatan,SD NEGERI SARONSONG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/29C1D30ABE780F0518EC
Prov. Sulawesi Utara,Kota Tomohon,Kec. Tomohon Selatan,SD GMIM I SARONGSONG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FCBC35F558763BDB301C
Prov. Sulawesi Utara,Kota Tomohon,Kec. Tomohon Selatan,SD GMIM II SARONSONG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/64A412BAE64648F684A9
Prov. Sulawesi Utara,Kota Tomohon,Kec. Tomohon Selatan,SD GMIM PANGOLOMBIAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CD6A873A2F602644736D
Prov. Sulawesi Utara,Kota Tomohon,Kec. Tomohon Selatan,SD GMIM PINARAS,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4E18EC9D6A86C21FFC5E
Prov. Sulawesi Utara,Kota Tomohon,Kec. Tomohon Selatan,SD GMIM TONDANGOW,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7ABB31D1C65B4C2E3A87
Prov. Sulawesi Utara,Kota Tomohon,Kec. Tomohon Selatan,SD GMIM V TOMOHON,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4A252210409B2738AA85
Prov. Sulawesi Utara,Kota Tomohon,Kec. Tomohon Selatan,SD KATOLIK PANGOLOMBIAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/883CB0742AD4101F2119
Prov. Sulawesi Utara,Kota Tomohon,Kec. Tomohon Selatan,SD KATOLIK SARONGSONG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/99BFD145CCE9D2C6DCE1
Prov. Sulawesi Utara,Kota Tomohon,Kec. Tomohon Selatan,SD KATOLIK V TOMOHON,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B39E7700F07A391BB0DC
